"ensembl_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"ENSG00000053918",47.2389276549382,0.884873051493072,0.346087381159754,2.55679085590414,0.0105642712455549,0.0259574967735295,0.533102754545381,0.455107412348874,"KCNQ1"
"ENSG00000146674",7583.14529731901,0.233494326410673,0.0913508169772544,2.5560179332475,0.0105877662085684,0.0260071917570523,0.215284118897413,0.0897992234000491,"IGFBP3"
"ENSG00000159685",41.336720807174,0.313237561691899,0.122549135874549,2.55601607842061,0.0105878226466326,0.0260071917570523,0.266848669552835,0.121572386640123,"CHCHD6"
"ENSG00000010244",4363.52577305084,-0.143762145994283,0.0562473629039026,-2.55589130889385,0.0105916197072985,0.0260124324427558,-0.136021192265075,0.0551715765653244,"ZNF207"
"ENSG00000130731",83.00769918262,0.419758880499964,0.164242140674303,2.55573191372583,0.0105964722780156,0.0260161778946977,0.334713555391827,0.167634387826168,"METTL26"
"ENSG00000198816",120.043164566471,0.480695825640679,0.188083354541697,2.55575952913001,0.0105956314227313,0.0260161778946977,0.36947643882885,0.196424494761705,"ZNF358"
"ENSG00000155085",276.100078078994,-0.225769684921984,0.0883487041305605,-2.55543855615975,0.0106054083216764,0.026034029815707,-0.203714053848308,0.0860687222801715,"AK9"
"ENSG00000096696",7350.48474448146,-0.160520978580775,0.0628190389314906,-2.55529185595845,0.0106098795092128,0.0260409175773914,-0.152035074080369,0.0615132579421521,"DSP"
"ENSG00000162298",1352.54679934875,0.241606137937503,0.0945533374425946,2.55523648844429,0.0106115674582223,0.0260409730609263,0.21526675084609,0.092918365791881,"SYVN1"
"ENSG00000113460",275.032855911896,-0.176158730796156,0.068956592256955,-2.55463219730654,0.0106300055749136,0.0260821272830572,-0.164011018724395,0.0673822422679657,"BRIX1"
"ENSG00000151320",666.849468825032,-0.225857723904622,0.088420166726532,-2.55436889870565,0.0106380482430923,0.0260977659832497,-0.203621370883075,0.0861010718508979,"AKAP6"
"ENSG00000013297",175.688805650882,0.236938851168685,0.0927659570052451,2.55415735273758,0.0106445140053976,0.0261054368730243,0.212197722746083,0.0910773380697413,"CLDN11"
"ENSG00000204334",15.8034604020305,-0.3967419638564,0.155331245163408,-2.55416715058858,0.0106442144634105,0.0261054368730243,-0.320766138958867,0.15464671325669,"ERICH2"
"ENSG00000011638",135.871422809242,0.236043792463019,0.0924256745849785,2.55387686941894,0.0106530921806534,0.026118281973797,0.211481257661556,0.0907346164345098,"LDAF1"
"ENSG00000151812",41.0671456213273,-0.310700315955039,0.121656809069513,-2.55390814810462,0.0106521352629912,0.026118281973797,-0.265398613717484,0.119013609916982,"SLC35F4"
"ENSG00000108506",463.48575347868,-0.197495943802273,0.0773471646923868,-2.55337017960158,0.0106686041380311,0.0261522124010649,-0.18140257922292,0.0754231436527539,"INTS2"
"ENSG00000091483",2574.37519159313,-0.237144322842885,0.0928915024854385,-2.55291729057843,0.0106824860173284,0.0261821369675493,-0.21183461901323,0.0904084587257461,"FH"
"ENSG00000186479",108.973868198553,0.454096020420297,0.177878833915137,2.55283897710359,0.0106848880971305,0.0261839202593371,0.354255838196845,0.183957173069116,"RGS7BP"
