"pathway","pval","padj","log2err","ES","NES","size","drug_name","direction","is_candidate"
"WANG_CLASSIC_ADIPOGENIC_TARGETS_OF_PPARG",0.0616645105648987,0.128887777620751,0.0585987461758163,0.786423733045243,1.29325267149776,25,"WANG_CLASSIC_ADIPOGENIC_TARGETS_OF_PPARG","BOTH",FALSE
"BRUECKNER_TARGETS_OF_MIRLET7A3_UP",0.0617679447392131,0.129005417409532,0.0562847952048854,0.691207827673229,1.19373335552429,102,"BRUECKNER_TARGETS_OF_MIRLET7A3","UP",FALSE
"BURTON_ADIPOGENESIS_5",0.0618618618618619,0.129103016059538,0.0562362053989718,0.686704285433544,1.18558560223105,113,"BURTON_ADIPOGENESIS_5","BOTH",FALSE
"UEDA_CENTRAL_CLOCK",0.062136117245533,0.129576537182758,0.0561877308987032,0.699925391230316,1.20663423142112,84,"UEDA_CENTRAL_CLOCK","BOTH",FALSE
"OSMAN_BLADDER_CANCER_DN",0.0622937706229377,0.129806364374987,0.0559949767165323,0.635550355296226,1.10532036028652,408,"OSMAN_BLADDER_CANCER","DN",FALSE
"SANA_RESPONSE_TO_IFNG_DN",0.0629019292604502,0.130973880103951,0.0558515993199052,0.70027947549118,1.20615601310039,82,"SANA_RESPONSE_TO_IFNG","DN",FALSE
"LEE_SP4_THYMOCYTE",0.0630983965855347,0.131243577246206,0.060003465477807,0.830315223181101,1.31047715650893,15,"LEE_SP4_THYMOCYTE","BOTH",FALSE
"GALLUZZI_PERMEABILIZE_MITOCHONDRIA",0.0631273931491255,0.131243577246206,0.0566281919237633,0.748547685130656,1.26281092634442,39,"GALLUZZI_PERMEABILIZE_MITOCHONDRIA","BOTH",FALSE
"WOOD_EBV_EBNA1_TARGETS_UP",0.0633697066773451,0.131555761716402,0.0555209399162646,0.690051198723128,1.19173582814913,102,"WOOD_EBV_EBNA1_TARGETS","UP",FALSE
"NABA_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER",0.0633737185461323,0.131555761716402,0.0565294902385424,0.747128228810827,1.26090437436276,40,"NABA_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER","BOTH",FALSE
"QI_HYPOXIA",0.0635127025405081,0.131641739596699,0.0554274498121651,0.67891004519547,1.17305321506055,131,"QI_HYPOXIA","BOTH",FALSE
"CROMER_TUMORIGENESIS_DN",0.0635316100903145,0.131641739596699,0.0565294902385424,0.749873321306151,1.2630763656459,38,"CROMER_TUMORIGENESIS","DN",FALSE
"KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP",0.0635883608583305,0.131641739596699,0.0589275343258683,0.812536272712026,1.30282724533104,18,"KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA","UP",FALSE
"ZHAN_V1_LATE_DIFFERENTIATION_GENES_UP",0.0636075949367089,0.131641739596699,0.0569774257112045,0.768323618546308,1.27867521101161,31,"ZHAN_V1_LATE_DIFFERENTIATION_GENES","UP",FALSE
"MALONEY_RESPONSE_TO_17AAG_UP",0.0637392297311326,0.131814461484791,0.0564312611344041,0.749687931104339,1.26276409692573,38,"MALONEY_RESPONSE_TO_17AAG","UP",FALSE
"ABE_INNER_EAR",0.0637879258568914,0.131815532586446,0.0563335007829073,0.746358496252877,1.25960532138633,40,"ABE_INNER_EAR","BOTH",FALSE
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_DN",0.064066852367688,0.1322920060966,0.058436248184976,0.806925847975862,1.29981023236524,19,"CHEOK_RESPONSE_TO_MERCAPTOPURINE","DN",FALSE
"AIYAR_COBRA1_TARGETS_UP",0.0641622684466522,0.132389114984948,0.0561393712402482,0.74781551834671,1.26157575023869,39,"AIYAR_COBRA1_TARGETS","UP",FALSE
"LEE_METASTASIS_AND_ALTERNATIVE_SPLICING_UP",0.0642331350206716,0.132435461504565,0.0553343907639583,0.706057677049796,1.21455602762048,72,"LEE_METASTASIS_AND_ALTERNATIVE_SPLICING","UP",FALSE
"NAKAYAMA_FRA2_TARGETS",0.0648081473099475,0.13352039987953,0.0556619907567076,0.740339641295799,1.25450386501124,44,"NAKAYAMA_FRA2_TARGETS","BOTH",FALSE
"FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP",0.0649337513907151,0.133678513021066,0.0551036070153613,0.714846067085653,1.2265996460713,63,"FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK","UP",FALSE
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN",0.0650548099579961,0.133744661361059,0.0554274498121651,0.734945841491366,1.25101538269925,47,"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT","DN",FALSE
"LEIN_OLIGODENDROCYTE_MARKERS",0.0650636492220651,0.133744661361059,0.0550120303971731,0.709917623927963,1.21979172532658,67,"LEIN_OLIGODENDROCYTE_MARKERS","BOTH",FALSE
"VALK_AML_CLUSTER_7",0.0651137594799567,0.133747181634506,0.0570783025835191,0.787407766114152,1.2910001028407,24,"VALK_AML_CLUSTER_7","BOTH",FALSE
"BROWNE_HCMV_INFECTION_10HR_UP",0.0653024375564249,0.133983259626468,0.0546947688323271,0.694592884859832,1.19842858830867,91,"BROWNE_HCMV_INFECTION_10HR","UP",FALSE
"SMITH_TERT_TARGETS_DN",0.0653266331658292,0.133983259626468,0.0547397849350589,0.70042026909356,1.20649595117131,81,"SMITH_TERT_TARGETS","DN",FALSE
"KANG_FLUOROURACIL_RESISTANCE_DN",0.0654054677586803,0.134044464260486,0.058872381059619,0.827906070678365,1.30667481827251,15,"KANG_FLUOROURACIL_RESISTANCE","DN",FALSE
"NOURUZI_NEPC_ASCL1_TARGETS",0.0654720192211433,0.134080422596593,0.0545603266717044,0.685496751537842,1.18363933682716,112,"NOURUZI_NEPC_ASCL1_TARGETS","BOTH",FALSE
"KOHN_EMT_MESENCHYMAL",0.0656361748759949,0.134316061675933,0.0587625026852205,0.827736868767468,1.30640776880397,15,"KOHN_EMT_MESENCHYMAL","BOTH",FALSE
"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_UP",0.0657229524772497,0.134393122554376,0.0579034702901396,0.810637074679379,1.29978205581236,18,"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM","UP",FALSE
"WILLERT_WNT_SIGNALING",0.065948560123104,0.13475374196924,0.0571289261785879,0.797833492936611,1.29479245370498,21,"WILLERT_WNT_SIGNALING","BOTH",FALSE
"LEI_HOXC8_TARGETS_DN",0.0661981410111086,0.135162771497308,0.0579561436845735,0.81550346133824,1.30121322274084,17,"LEI_HOXC8_TARGETS","DN",FALSE
"NAM_FXYD5_TARGETS_DN",0.0662846871138074,0.135238556259043,0.057642075315137,0.810441260850212,1.29946808633159,18,"NAM_FXYD5_TARGETS","DN",FALSE
"BROWNE_HCMV_INFECTION_1HR_UP",0.0664615384615385,0.135498337727846,0.0548301225441775,0.73612943316619,1.25100533553786,46,"BROWNE_HCMV_INFECTION_1HR","UP",FALSE
"AKL_HTLV1_INFECTION_UP",0.0666452717158751,0.135771752356392,0.0559949767165323,0.775560280029461,1.2819594015146,27,"AKL_HTLV1_INFECTION","UP",FALSE
"HARRIS_BRAIN_CANCER_PROGENITORS",0.0668529442202215,0.135946875573104,0.0549208699749138,0.745486691122196,1.257646984546,39,"HARRIS_BRAIN_CANCER_PROGENITORS","BOTH",FALSE
"ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF",0.0668589677552282,0.135946875573104,0.0547849027087005,0.739427235740102,1.25216943608536,43,"ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF","BOTH",FALSE
"MARTIN_NFKB_TARGETS_UP",0.0668802977051892,0.135946875573104,0.0548754448345273,0.743718440120806,1.25667812879413,41,"MARTIN_NFKB_TARGETS","UP",FALSE
"BROWNE_HCMV_INFECTION_20HR_UP",0.066993300669933,0.136075479311757,0.0538582753911296,0.655493212689805,1.13724852745299,220,"BROWNE_HCMV_INFECTION_20HR","UP",FALSE
"PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7",0.0670932906709329,0.136177480174831,0.0538152137392164,0.637367820514457,1.10826323270666,376,"PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7","BOTH",FALSE
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3",0.0671470684572552,0.136185603631616,0.0563823226021518,0.793463075450269,1.29244258647099,22,"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3","BOTH",FALSE
