"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"ENSG00000142627",186.438261873621,1.00861387054596,0.224743505931757,3.08675330215678e-07,1.16585411517762e-05,"EPHA2"
"ENSG00000133243",278.322757764955,1.09590912226306,0.245727565324189,3.26936240558174e-07,1.21589328944156e-05,"BTBD2"
"ENSG00000261373",13.6982472397345,1.03382037117813,0.229772844400854,3.28998845765108e-07,1.22211793463526e-05,"VPS9D1-AS1"
"ENSG00000161677",12.3273205391558,1.50114760327305,0.3398497647222,3.32113336498733e-07,1.22894610498845e-05,"JOSD2"
"ENSG00000177169",347.271315661967,1.01186031287576,0.225932943822923,3.33144211404845e-07,1.22894610498845e-05,"ULK1"
"ENSG00000233421",16.1062979335473,2.73226956603065,0.372049309665279,3.41859373191845e-07,1.25067202117892e-05,"LINC01783"
"ENSG00000227195",778.503680311753,1.38664928165536,0.315610978337253,3.42910341948831e-07,1.25305818675395e-05,"MIR663AHG"
"ENSG00000176101",63.9550655337294,1.0431040526927,0.234153822613258,3.51225686717765e-07,1.27750213319357e-05,"SSNA1"
"ENSG00000142623",27.1648170944627,3.64479649085472,0.529286795046429,3.60291760088012e-07,1.30334890315638e-05,"PADI1"
"ENSG00000102760",84.347213961222,1.68799786128509,0.390449468160157,3.6253453750298e-07,1.3080379306049e-05,"RGCC"
"ENSG00000262480",6.01523423405589,1.54248407311696,0.347445378898173,3.62153369607016e-07,1.3080379306049e-05,"SAMD11P1"
"ENSG00000176845",31.6568313074156,1.23078764542625,0.278517873950033,3.6486958732956e-07,1.31194412487629e-05,"METRNL"
"ENSG00000088826",71.8003107794963,1.35564150954656,0.309605217346654,3.66302642100662e-07,1.31559163778919e-05,"SMOX"
"ENSG00000063660",199.964290664428,1.04768018359138,0.236434084240477,3.8170809025816e-07,1.36158438643052e-05,"GPC1"
"ENSG00000189409",4.57026311582543,1.96345369899258,0.44598957983321,3.91870764684144e-07,1.38525654116579e-05,"MMP23B"
"ENSG00000147145",20.7800789202704,2.63141403853963,0.628607016376195,4.0103785312861e-07,1.40658655942184e-05,"LPAR4"
"ENSG00000167967",117.732197022457,1.09415402647152,0.248226179148914,4.07833770983668e-07,1.42564895294024e-05,"E4F1"
"ENSG00000132698",12.0645696580468,1.30843675405248,0.298639746027242,4.08596820105178e-07,1.42672929651393e-05,"RAB25"
"ENSG00000136828",174.998346617405,1.23066698581183,0.122582422510956,4.39709829531665e-07,1.51070115058914e-05,"RALGPS1"
"ENSG00000120057",65.7232383305557,1.08088201244991,0.245948601560542,4.42566288284627e-07,1.51835023751449e-05,"SFRP5"
"ENSG00000108679",1101.40509237124,1.03303038652013,0.235264885025945,4.63795994478315e-07,1.575098930136e-05,"LGALS3BP"
"ENSG00000165233",80.3885622146677,1.08824850175766,0.248449310012648,4.66330220633675e-07,1.57919111138296e-05,"CARD19"
"ENSG00000214894",104.879269864636,1.00793226726848,0.229271168233649,4.70917336719987e-07,1.59129550793143e-05,"LINC00243"
"ENSG00000173372",585.773670659292,1.35596184855039,0.314229528225552,4.72893992081275e-07,1.59625849571924e-05,"C1QA"
"ENSG00000256537",7.09649477677334,1.18657045526643,0.268372761243573,4.90096879585583e-07,1.64901333381761e-05,"SMIM10L1"
"ENSG00000185022",88.1057238584518,1.4232905705723,0.262557487389252,4.9832042530791e-07,1.66953280231625e-05,"MAFF"
