No,Category,Metabolite,Control_Mean,Control_SD,NAFL_Mean,NAFL_SD,NASH_Mean,NASH_SD,Normalized_NAFL,Normalized_NASH,Pval_Control_vs_NAFL,Pval_Control_vs_NASH,Pval_NAFL_vs_NASH,Pval_Kruskal_Wallis,Qval_FDR,min_mean,FDR_recomputed,FDR_paper
31,Amino acids,Lysine,33.51,18.73,36.97,22.01,30.79,19.81,1.1,0.92,0.638,0.622,0.303,0.58,0.753,30.79,0.7530483870967742,0.753
32,Amino acids,Ornithine,8.79,4.76,9.47,5.21,8.49,4.51,1.08,0.97,0.812,0.69,0.616,0.853,0.91,8.49,0.9106351351351352,0.91
33,Amino acids,Arginine,14.19,6.28,13.61,6.54,11.2,5.12,0.96,0.79,0.611,0.124,0.18,0.251,0.482,11.2,0.4813488372093023,0.482
34,Kynurenine pathway metabolites and nucleosides,Choline,0.97,0.37,1.0,0.37,1.02,0.33,1.03,1.05,0.541,0.359,0.728,0.655,0.785,0.97,0.7840151515151516,0.785
35,Kynurenine pathway metabolites and nucleosides,Kynurenine,0.43,0.13,0.52,0.19,0.5,0.21,1.21,1.17,0.061,0.279,0.705,0.174,0.406,0.43,0.4066176470588235,0.406
36,Kynurenine pathway metabolites and nucleosides,Xanthurenic acid,0.17,0.05,0.19,0.05,0.19,0.04,1.09,1.08,0.275,0.312,0.823,0.464,0.651,0.17,0.6500175438596492,0.651
37,Kynurenine pathway metabolites and nucleosides,Kynurenic acid,0.005,0.006,0.01,0.009,0.009,0.006,1.88,1.7,0.001,0.007,0.74,0.001,0.015,0.005,0.015799999999999998,0.015
38,Kynurenine pathway metabolites and nucleosides,"5,6-Dihydrouridine",0.22,0.15,0.26,0.25,0.21,0.13,1.2,0.99,0.403,0.687,0.649,0.672,0.786,0.21,0.7856111111111111,0.786
39,Kynurenine pathway metabolites and nucleosides,Pseudouridine,0.92,0.38,1.22,1.16,1.03,0.57,1.33,1.12,0.138,0.477,0.365,0.275,0.494,0.92,0.4937500000000001,0.494
40,Kynurenine pathway metabolites and nucleosides,Uridine,1.48,0.66,1.64,1.09,1.39,0.77,1.1,0.94,0.464,0.924,0.511,0.688,0.786,1.39,0.7856111111111111,0.786
41,Kynurenine pathway metabolites and nucleosides,1-Methyladenosine,0.002,0.001,0.002,0.001,0.002,0.001,1.21,1.02,0.262,0.653,0.122,0.243,0.482,0.002,0.4813488372093023,0.482
42,Organic acids,Pyruvic acid,9.48,3.44,11.08,4.01,11.69,3.26,1.17,1.23,0.107,0.041,0.562,0.107,0.308,9.48,0.30782758620689654,0.308
43,Organic acids,Acetoacetic acid,21.41,21.23,22.45,17.37,55.61,106.45,1.05,2.6,0.384,0.03,0.13,0.095,0.29,21.41,0.28865384615384615,0.29
44,Organic acids,Lactic acid,477.42,167.15,501.71,235.17,518.95,189.41,1.05,1.09,0.357,0.137,0.627,0.366,0.579,477.42,0.5782799999999999,0.579
45,Organic acids,Glycolic acid,64.06,9.99,71.68,19.68,81.84,37.73,1.12,1.28,0.132,0.046,0.417,0.113,0.308,64.06,0.30782758620689654,0.308
46,Organic acids,2-Hydroxybutyric acid,4.54,1.76,6.28,3.43,7.34,3.57,1.38,1.62,0.033,0.003,0.118,0.008,0.074,4.54,0.079,0.074
47,Organic acids,3-Hydroxybutyric acid,6.62,12.72,8.17,11.54,13.87,22.45,1.23,2.1,0.084,0.012,0.195,0.033,0.163,6.62,0.1621578947368421,0.163
48,Organic acids,3-Hydroxypropionic acid,6.88,3.36,9.52,4.27,10.59,4.86,1.38,1.54,0.01,0.002,0.349,0.005,0.06,6.88,0.05642857142857143,0.06
49,Organic acids,Malonic acid,0.11,0.07,0.1,0.05,0.09,0.04,0.86,0.81,0.872,0.557,0.752,0.869,0.916,0.09,0.9153466666666668,0.916
50,Organic acids,Succinic acid,9.15,2.03,9.01,3.03,9.93,2.98,0.98,1.09,0.676,0.119,0.19,0.262,0.482,9.01,0.4813488372093023,0.482
51,Organic acids,Fumaric acid,1.06,1.33,1.23,1.55,1.56,1.5,1.15,1.47,0.933,0.203,0.236,0.389,0.596,1.06,0.5970576923076923,0.596
52,Organic acids,Oxaloacetic acid,0.75,0.44,0.82,0.45,1.09,0.52,1.09,1.45,0.35,0.004,0.025,0.015,0.101,0.75,0.09874999999999999,0.101
53,Organic acids,a-Ketoglutaric acid,1.7,0.56,2.63,1.32,3.71,1.85,1.54,2.18,0.002,0.001,0.033,0.001,0.004,1.7,0.015799999999999998,0.004
54,Organic acids,Malic acid,1.25,1.32,2.23,2.71,3.55,3.22,1.78,2.84,0.281,0.003,0.077,0.024,0.144,1.25,0.14584615384615385,0.144
55,Organic acids,2-Hydroxyglutaric acid,1.17,0.61,1.57,1.16,1.96,1.74,1.35,1.68,0.169,0.043,0.318,0.113,0.308,1.17,0.30782758620689654,0.308
56,Organic acids,cis-Aconitic acid,0.08,0.04,0.1,0.05,0.13,0.06,1.27,1.65,0.051,0.002,0.151,0.01,0.082,0.08,0.079,0.082
57,Organic acids,4-Hydroxyphenyllactic acid,0.1,0.06,0.12,0.07,0.11,0.07,1.21,1.19,0.475,0.481,0.932,0.713,0.786,0.1,0.7856111111111111,0.786
58,Organic acids,Citric acid,4.83,3.34,4.53,2.69,4.53,2.55,0.94,0.94,0.964,0.925,0.969,1.0,1.0,4.53,1.0,1.0
59,Organic acids,Isocitric acid,0.28,0.11,0.31,0.14,0.39,0.11,1.11,1.38,0.363,0.003,0.011,0.009,0.077,0.28,0.079,0.077
60,Fatty acids,Myristoleic acid,0.13,0.08,0.22,0.15,0.31,0.19,1.74,2.5,0.002,0.001,0.085,0.001,0.004,0.13,0.015799999999999998,0.004
61,Fatty acids,Palmitoleic acid,3.26,1.87,5.53,3.97,7.18,5.16,1.69,2.2,0.009,0.001,0.268,0.004,0.048,3.26,0.05266666666666667,0.048
62,Fatty acids,Palmitic acid,46.36,14.6,51.46,16.61,54.28,28.11,1.11,1.17,0.11,0.248,0.763,0.247,0.482,46.36,0.4813488372093023,0.482
63,Fatty acids,γ-Linolenic acid,1.38,0.96,1.97,1.48,2.2,1.2,1.43,1.59,0.177,0.02,0.357,0.091,0.286,1.38,0.28756,0.286
64,Fatty acids,Linoleic acid,29.52,12.52,31.64,12.48,34.79,20.09,1.07,1.18,0.317,0.335,0.92,0.52,0.709,29.52,0.7082758620689655,0.709
65,Fatty acids,Oleic acid,35.71,13.41,42.23,17.39,49.51,27.33,1.18,1.39,0.132,0.098,0.562,0.175,0.406,35.71,0.4066176470588235,0.406
66,Fatty acids,α-Linolenic acid,1.91,0.85,2.65,1.31,2.71,1.15,1.38,1.42,0.025,0.022,0.871,0.037,0.163,1.91,0.1621578947368421,0.163
67,Fatty acids,Octadecanoic acid,18.41,5.42,17.92,5.18,17.73,4.19,0.97,0.96,0.872,1.0,0.994,0.992,1.0,17.73,1.0,1.0
68,Fatty acids,Arachidonic acid,10.4,8.3,9.6,7.32,9.84,10.75,0.92,0.95,0.451,0.359,0.74,0.608,0.753,9.6,0.7535384615384615,0.753
69,Fatty acids,11-Eicosenic acid,0.44,0.13,0.48,0.2,0.48,0.17,1.1,1.1,0.515,0.589,0.871,0.772,0.835,0.44,0.8354520547945206,0.835
70,Fatty acids,Eicosanoic acid,0.16,0.05,0.15,0.04,0.15,0.04,0.91,0.91,0.122,0.088,0.752,0.175,0.406,0.15,0.4066176470588235,0.406
71,Fatty acids,Docosatetraenoic acid,4.79,1.95,5.43,3.5,5.8,4.25,1.13,1.21,0.933,0.815,0.823,0.962,0.987,4.79,0.986987012987013,0.987
72,Fatty acids,Docosapentaenoic acid (DPA),1.9,0.66,2.19,0.71,2.09,0.8,1.15,1.1,0.029,0.108,0.391,0.063,0.228,1.9,0.22622727272727275,0.228
73,Fatty acids,2-Hydroxyoctadecanoic acid,0.11,0.02,0.11,0.01,0.11,0.02,1.0,1.01,0.62,0.164,0.23,0.32,0.517,0.11,0.517530612244898,0.517
74,Fatty acids,Erucic acid,0.71,0.47,0.63,0.36,0.5,0.12,0.9,0.7,0.704,0.049,0.041,0.078,0.268,0.5,0.2679130434782609,0.268
75,Fatty acids,Docosanoic acid,0.22,0.05,0.2,0.02,0.2,0.01,0.92,0.9,0.107,0.171,0.728,0.21,0.462,0.2,0.4608333333333333,0.462
76,Fatty acids,3-Hydroxyoctadecanoic acid,1.41,2.55,1.76,2.97,1.17,2.43,1.24,0.83,0.638,0.203,0.349,0.431,0.63,1.17,0.630537037037037,0.63
77,Fatty acids,Nervonic acid,0.4,0.1,0.36,0.08,0.37,0.08,0.91,0.93,0.161,0.248,0.982,0.321,0.517,0.36,0.517530612244898,0.517
78,Fatty acids,Tetracosanoic acid,0.33,0.06,0.31,0.08,0.32,0.06,0.95,0.99,0.149,0.164,0.92,0.262,0.482,0.31,0.4813488372093023,0.482
79,Fatty acids,Hexacosanoic acid,0.41,0.35,0.33,0.08,0.35,0.07,0.81,0.84,0.025,0.072,0.932,0.061,0.228,0.33,0.22622727272727275,0.228
