"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-2.88624683004389,12.9339118888889,-10.6274817762849,1.13327023378692e-15,5.75452512127073e-13,25.3528908575141,"FOS","Down"
1.06891188596488,12.0060433253968,10.4480296576033,2.25821686868191e-15,1.1193765949783e-12,24.6809759623641,"BCAR3","Up"
-0.81838480592109,13.0352059444444,-10.4006726053115,2.71039801960115e-15,1.31227386907154e-12,24.5030562073236,"RP5-1022P6.2","Down"
1.70891835526312,11.6358222380952,10.2913403931311,4.13450621348027e-15,1.90249153983037e-12,24.0913552336457,"TP53I3","Up"
-1.80710438815793,12.8922105396825,-10.2885850830996,4.17880630071652e-15,1.90249153983037e-12,24.0809630544956,"THBS1","Down"
-2.73451896052635,11.6573765952381,-10.287056216007,4.20359339219929e-15,1.90249153983037e-12,24.0751962862085,"GADD45G","Down"
1.81954911842101,12.0317997460317,10.2346110808516,5.14979524983497e-15,2.2811401554535e-12,23.8772251663641,"C18orf56","Up"
-0.373109586622848,14.5994017936508,-10.102081105604,8.61254772187833e-15,3.73551314628719e-12,23.375648108948,"SLC38A2","NS"
1.49294445942979,10.8461506349206,10.0746392219911,9.58234258838556e-15,4.07132225199182e-12,23.2715616535116,"TMEM169","Up"
-2.10224028728073,11.3551829126984,-10.0449460286171,1.07559670876994e-14,4.47856957597626e-12,23.1588488319047,"PNRC1","Down"
0.604765878289442,13.2799593730159,10.0390085175141,1.10074718344969e-14,4.49342266906648e-12,23.1362997301816,"AKTIP","Up"
-2.34669890679827,10.4186602936508,-10.0169538704425,1.19946271892387e-14,4.80223352793771e-12,23.0525105794757,"ZC3H12A","Down"
1.67012658991224,12.9236602460317,10.0034811083122,1.26410205430974e-14,4.96553597522161e-12,23.0013011172445,"LOC55908","Up"
1.23383655153506,10.8818323015873,9.99686057815869,1.29713922462348e-14,5.00095213285857e-12,22.9761300094258,"CCDC121","Up"
-0.62786322039477,14.739264452381,-9.96682563619441,1.45827705128246e-14,5.51997635102719e-12,22.8618824423212,"TRIB1","Down"
-1.59803287171056,12.5240736746032,-9.94683423579031,1.57655471159641e-14,5.86112366798673e-12,22.7857886516432,"C13orf15","Down"
1.06832106578944,12.3027633888889,9.92950688932057,1.68685588892692e-14,6.16116714939816e-12,22.7198029409507,"LRRC20","Up"
-1.8295953662281,10.4515482063492,-9.84458909722451,2.35063940871121e-14,8.43757962930323e-12,22.3959931589721,"HBEGF","Down"
-1.5934750416667,12.3446270873016,-9.80707545074844,2.7223263684283e-14,9.60612079056079e-12,22.2527225056372,"ATF3","Down"
-2.89707551754389,11.7095279285714,-9.79663585791443,2.83590809497564e-14,9.84012843821629e-12,22.2128280191386,"SLITRK3","Down"
1.89626127521927,11.5065212857143,9.76001363784527,3.27340868614787e-14,1.11719828585103e-11,22.0727957358118,"NAT8B","Up"
2.33838693749997,10.7347192857143,9.75420445296256,3.34879573962491e-14,1.12449320166534e-11,22.0505715164358,"C10orf140","Up"
-1.28001489692986,12.9811482698413,-9.71833122195888,3.85461829946923e-14,1.27379838693095e-11,21.9132610391948,"KLF11","Down"
3.05957031469295,12.3008571507936,9.68210487391658,4.44350728224207e-14,1.42653498733119e-11,21.7744774605738,"CYP7A1","Up"
3.31457083903506,10.158986152381,9.68151252499724,4.45385341162052e-14,1.42653498733119e-11,21.7722071581697,"AKR1B10","Up"
-1.53877693201757,12.4990363174603,-9.65967249396834,4.85271750641195e-14,1.53073826918167e-11,21.6884781595994,"FILIP1L","Down"
-0.992791853070207,12.3822246587302,-9.64933742371927,5.05380195736574e-14,1.56319201798176e-11,21.6488409962719,"ARAP2","Down"
-1.08678771491232,13.6822248809524,-9.64476987685551,5.14532058530116e-14,1.56319201798176e-11,21.6313203985488,"BCL6","Down"
-1.38938474451757,12.5309730952381,-9.64301832640787,5.18085639275379e-14,1.56319201798176e-11,21.6246011447608,"BCL3","Down"
-2.53694067324564,10.4406805873016,-9.63065778310228,5.43874594653888e-14,1.61756074087133e-11,21.5771760348053,"NR4A1","Down"
-1.31654920942985,11.0859814206349,-9.57674240037701,6.72340719121093e-14,1.97147344103972e-11,21.3701520621017,"C21orf63","Down"
-2.0379450153509,10.1621596587302,-9.56703871238173,6.98514342825259e-14,2.01977362545543e-11,21.3328643879432,"NLF2","Down"
1.06376143640347,10.1196011269841,9.53210531103857,8.01518248171267e-14,2.26138572031109e-11,21.1985596153936,"CDC2","Up"
2.51934056249996,11.7197293730159,9.53138450616021,8.03797220342094e-14,2.26138572031109e-11,21.19578728728,"LOC730417","Up"
-1.64772992763162,13.4088983968254,-9.44526846586594,1.1287562328669e-13,3.13327680160745e-11,20.864249055316,"RALGDS","Down"
1.32469537390348,12.8009466825397,9.43557772389789,1.17276173757603e-13,3.2125956071836e-11,20.8269011164528,"IFIT2","Up"
-1.17438110197373,13.1273388095238,-9.42061598781384,1.24411404408934e-13,3.3637935433631e-11,20.7692233857417,"SERTAD1","Down"
-1.36052612938599,11.814750484127,-9.3946907610553,1.3782400016943e-13,3.67866392247097e-11,20.6692370466661,"CDH19","Down"
0.709419186403482,11.0218065,9.35813019474719,1.59246408319696e-13,4.19664680355411e-11,20.5281389922246,"SPATS2","Up"
-1.82267638048248,12.8109522539683,-9.35310370841148,1.62442478608449e-13,4.22736245268662e-11,20.5087317564303,"CYR61","Down"
-0.823017489035125,12.910852452381,-9.34152822587682,1.70050056188228e-13,4.31850364140217e-11,20.4640310951375,"TGFBR3","Down"
-1.38058731907899,13.2027958888889,-9.34146388493136,1.70093327534934e-13,4.31850364140217e-11,20.4637826015437,"SIPA1L2","Down"
-1.60742937609652,11.0188071904762,-9.3150111714148,1.88854923867126e-13,4.73707308432494e-11,20.3615903813935,"C17orf96","Down"
-0.879549576754428,13.6348243333333,-9.31026917097008,1.92431736061493e-13,4.76932894412408e-11,20.3432651491338,"TSC22D2","Down"
0.739269196271897,12.9357023333333,9.21854096720317,2.76721421546545e-13,6.77772150020884e-11,19.9884384520591,"TMEM19","Up"
1.44376573903505,10.5548752460317,9.20682905785165,2.89871852889199e-13,7.01725826197701e-11,19.9430872122256,"CKAP2","Up"
-1.68953752083337,13.0961854126984,-9.17958462781509,3.22943828173117e-13,7.72800868820243e-11,19.8375503326593,"CCL2","Down"
0.731199930921012,12.575781952381,9.11812458682869,4.1215432564338e-13,9.75072830178356e-11,19.5992697707799,"ZNF226","Up"
-2.17148581578951,12.5421059285714,-9.11032575577121,4.25118756220902e-13,9.89148690984368e-11,19.5690139780503,"PTGS2","Down"
0.81120327741224,12.7269686428571,9.10885663247625,4.27606427727524e-13,9.89148690984368e-11,19.5633139803552,"TTC31","Up"
-2.4109057905702,10.0682886031746,-9.09518996120484,4.51460503160877e-13,1.03285233135234e-10,19.5102817346985,"FOSL1","Down"
-0.70414807346495,14.1296778968254,-9.07398495125254,4.91145681017103e-13,1.11143064490164e-10,19.4279712920644,"RHOB","Down"
1.05688387719296,10.0739347619048,9.06592286094426,5.07137220945948e-13,1.13527847342728e-10,19.396668724402,"FBXO27","Up"
0.821922036184178,13.5642143412698,9.05581936073501,5.27918438590556e-13,1.16922701840604e-10,19.3574335566925,"NUPR1","Up"
-0.926103270833371,12.7290085714286,-9.04864064445004,5.43201603994587e-13,1.19041202037508e-10,19.3295519374359,"ZNF331","Down"
1.1355051721491,10.8300262142857,9.04132059007426,5.59243360331832e-13,1.21280078320296e-10,19.3011176795307,"HMMR","Up"
-0.912187262061442,13.801003484127,-9.03074075511942,5.8327340030472e-13,1.2518730846334e-10,19.2600144685857,"CXCL2","Down"
-1.83122194407898,11.1267978253968,-9.02522427754296,5.9621156755155e-13,1.25526739264184e-10,19.2385796059145,"TRIM15","Down"
0.751891918859622,12.319566515873,9.02492833888814,5.9691374163765e-13,1.25526739264184e-10,19.2374296455972,"UBTD2","Up"
-0.699305300438628,12.6382891269841,-8.95727595000094,7.81329508538781e-13,1.62664990382689e-10,18.9743900126396,"DUSP5","Down"
0.782614259868376,13.2012832142857,8.94853162622809,8.09014531833371e-13,1.6676112414098e-10,18.9403689088304,"SLC29A1","Up"
-2.40271133662284,11.1212717301587,-8.92715236890468,8.80922451479856e-13,1.79803181542736e-10,18.8571686919938,"SIK1","Down"
-1.19472197587722,11.1765097539683,-8.92087970942944,9.03213376465698e-13,1.82563099850868e-10,18.832752192033,"IRAK3","Down"
1.32703399999997,10.2032733253968,8.91220553694043,9.34974572373079e-13,1.87165727136876e-10,18.7989835742049,"ASPM","Up"
-0.737090252193019,14.2092827380952,-8.89341366700454,1.00768192355507e-12,1.9979933301422e-10,18.7258102402049,"TM4SF1","Down"
0.748713133771895,12.8929223809524,8.88204159647779,1.05441131168991e-12,2.07092349981813e-10,18.681517900056,"VPS45","Up"
-1.1134093541667,11.9888241031746,-8.87663005982289,1.07740593603879e-12,2.07752158280196e-10,18.6604380117631,"TNFRSF1A","Down"
-1.348275629386,11.5281073253968,-8.87655493665987,1.07772866584664e-12,2.07752158280196e-10,18.6601453670706,"RGS1","Down"
