"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-0.718490566666679,14.2092827380952,-8.79255276161393,1.50676352150994e-12,3.73444163741851e-10,18.3338854641805,"TM4SF1","Down"
0.495984829166646,14.1435837142857,8.7529183284533,1.76512102799833e-12,4.32330055081144e-10,18.1796911958605,"CCDC90B","NS"
-0.524907995833347,14.310645531746,-8.73357976138564,1.90687870882399e-12,4.616198585931e-10,18.1044229593599,"FAM46A","Down"
-1.82859089166668,10.1621596587302,-8.70658226853132,2.12409183962164e-12,5.08292735736584e-10,17.9993095396843,"NLF2","Down"
-0.941113045833349,12.5434418492064,-8.70309604082785,2.15389427891903e-12,5.0956732946381e-10,17.9857330957056,"FAM60A","Down"
2.70691060416664,12.3008571507936,8.68819068857641,2.28611983599492e-12,5.347722344447e-10,17.9276794581083,"CYP7A1","Up"
0.994965633333324,12.9733453492063,8.67570868821625,2.40309412717724e-12,5.52649057405187e-10,17.8790549324674,"TMEM42","Up"
0.874986233333312,12.0060433253968,8.67440704274398,2.41563303827619e-12,5.52649057405187e-10,17.8739837899309,"BCAR3","Up"
1.07952536666665,11.8734800079365,8.67163753563962,2.44253088827347e-12,5.52728810467016e-10,17.8631936292981,"RMND1","Up"
-1.14293359166668,11.1765097539683,-8.65581399139882,2.60207705259287e-12,5.82501528579904e-10,17.8015362401932,"IRAK3","Down"
-2.13383450000002,12.2216943015873,-8.62141700720523,2.98589989008334e-12,6.61313295868564e-10,17.6674604331122,"EMP1","Down"
-0.957068683333361,13.6822248809524,-8.61462430434112,3.06816510956636e-12,6.72380309642757e-10,17.6409758902198,"BCL6","Down"
-0.873124508333355,12.3822246587302,-8.60719326124538,3.16076771503509e-12,6.85458573534536e-10,17.6119997598438,"ARAP2","Down"
-1.05626926250003,13.1273388095238,-8.59391345688767,3.33329316523506e-12,7.15420932031223e-10,17.5602103352782,"SERTAD1","Down"
-1.99210510416668,11.4309427380952,-8.56956316915384,3.67455855439744e-12,7.80618719836737e-10,17.4652245146814,"IER3","Down"
-1.25723672500002,12.819269484127,-8.55644216223943,3.87275888540322e-12,8.14413810456663e-10,17.414029825956,"BIRC3","Down"
1.04044139166665,11.9719245952381,8.53862734581088,4.15913634159759e-12,8.65890594957203e-10,17.344507773795,"TBX3","Up"
-2.48668155833335,11.7095279285714,-8.52871122891193,4.32764456402902e-12,8.92051803747725e-10,17.3058037031411,"SLITRK3","Down"
-1.16850286666669,13.1658595873016,-8.52145989298434,4.45518810285308e-12,9.093388344441e-10,17.2774977270401,"PFKFB3","Down"
-0.796068908333362,14.0350791507937,-8.50652260830116,4.72992545658147e-12,9.56041923112327e-10,17.2191815036126,"NAMPT","Down"
-1.15660067500001,13.4733712301587,-8.47524956271833,5.36139641574738e-12,1.07325876903312e-09,17.0970562270415,"ETS2","Down"
