"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050673","epithelial cell proliferation","29/674","225/12380",0.128888888888889,2.36742499175734,4.96690393454717,1.34511100032324e-05,0.00184316479316234,0.00184316479316234,"VEGFA/NR4A3/SOX9/CFLAR/COL4A3/HMOX1/NR4A1/FGFR2/KLF9/TGFB2/GDF5/CCN3/HMGB2/FGF10/THBS1/BMPER/CDKN2B/VASH2/CXCL12/ERRFI1/DUSP10/SFRP2/EGR3/ANG/ROBO1/LEP/MTSS1/RGCC/IL12A",29
"GO:0043410","positive regulation of MAPK cascade","34/674","285/12380",0.119298245614035,2.19126451142694,4.88198192945974,1.35150807267155e-05,0.00184316479316234,0.00184316479316234,"RASSF2/NRG1/VEGFA/GADD45G/TNIK/NGF/NKD1/CFLAR/GPR37/NAMPT/CCN2/FGFR2/TGFB2/IL34/EPHA4/ADRA2A/ADORA1/GDF15/FGF10/THBS1/BMPER/NRK/FGF22/NEK10/HTR2A/PLCG2/ACTA2/LIF/ROBO1/LEP/SEMA3A/GADD45B/ADRA1B/RAMP3",34
"GO:0031214","biomineral tissue development","17/674","97/12380",0.175257731958763,3.21912569977668,5.26482589762876,1.67449158544182e-05,0.00219307104385723,0.00219307104385723,"SOX9/FAM20A/GPM6B/CDON/ENPP1/FGFR2/S1PR1/CCN1/LGR4/TENT5A/TMEM119/PKDCC/FBN2/P2RX7/SLC24A3/COL1A1/LEP",17
"GO:0032956","regulation of actin cytoskeleton organization","33/674","276/12380",0.119565217391304,2.1961682363566,4.82226218480276,1.7242861092963e-05,0.00219307104385723,0.00219307104385723,"MYADM/RAC3/SSH2/LMOD1/GPM6B/SYNPO2/KANK4/ARHGAP28/CCN2/NEDD9/CDC42EP3/WASF3/AMOT/CIT/S1PR1/TGFB2/KANK1/FAM107A/SIGLEC15/DAAM2/RND2/CARMIL1/PIK3R1/PRKCE/CXCL12/SPTBN4/CORO2B/PAK3/CRACD/RND1/MTSS1/RGCC/DNAI3",33
"GO:0051046","regulation of secretion","40/674","364/12380",0.10989010989011,2.01845632112694,4.73240178879628,1.73846297570926e-05,0.00219307104385723,0.00219307104385723,"NRG1/CAMK2A/CHD7/SOX4/SNCAIP/LGI3/AGT/CYP19A1/CORIN/IRS2/TGFB2/FOXO1/STC1/CCN3/ADRA2A/ABAT/CCKAR/SLC38A2/ADORA1/C1QTNF1/CADPS2/FGF10/ADCY8/INHBB/TRPV6/CXCL12/PER2/GDNF/RAB27B/TRPA1/RAB11FIP1/ANG/MCTP1/HTR2A/LIF/LEP/RGCC/EPHA5/SEPTIN4/IL12A",40
"GO:0007015","actin filament organization","40/674","366/12380",0.109289617486339,2.0074265051645,4.69438356388247,1.97598943036682e-05,0.00243191284527585,0.00243191284527585,"MYADM/RAC3/ARHGEF2/SSH2/RHOJ/LMOD1/SYNPO2/AIF1L/KANK4/ARHGAP28/CCN2/RHOB/NEDD9/CDC42EP3/WASF3/ELMO1/AMOT/S1PR1/MARCKSL1/CORO6/KANK1/FAM107A/GAS2L3/DAAM2/RND2/SORBS1/CARMIL1/PIK3R1/PRKCE/CXCL12/SPTBN4/CORO2B/PAK3/ANG/CRACD/RND1/MTSS1/RGCC/DNAI3/MICAL2",40
"GO:0045785","positive regulation of cell adhesion","35/674","304/12380",0.115131578947368,2.11473137591754,4.72186900574505,2.1857544102341e-05,0.00257524170274726,0.00257524170274726,"NRG1/VEGFA/MYADM/RAC3/NR4A3/PDPN/SOX4/TGFBR2/SOCS1/ZBTB16/NEDD9/FRMD5/TGFB2/TNFSF9/EPHA4/SMARCD2/ICOSLG/MAP3K8/CARMIL1/VCAM1/IGFBP2/HPSE/CXCL12/NID1/LAMA2/DUSP10/IL4I1/FSTL3/SFRP2/FOXO3/HTR2A/LIF/LEP/CITED2/IL12A",35
"GO:0030336","negative regulation of cell migration","28/674","219/12380",0.127853881278539,2.34841402111025,4.83091218190049,2.19451829603909e-05,0.00257524170274726,0.00257524170274726,"DUSP1/APOD/TNFAIP6/ADARB1/HMOX1/RHOB/NEDD9/NAV3/STC1/CCN3/EPHA4/KANK1/ALOX15B/GDF15/THBS1/RAP2B/CXCL12/DUSP10/SFRP2/SAP30/FOXO3/ING2/MCTP1/ROBO1/RGCC/ACVR1C/DNAI3/CITED2",28
"GO:0050680","negative regulation of epithelial cell proliferation","14/674","71/12380",0.197183098591549,3.62184979312074,5.31611130742559,2.34817749078396e-05,0.00269293264056724,0.00269293264056724,"SOX9/COL4A3/FGFR2/KLF9/TGFB2/GDF5/THBS1/CDKN2B/DUSP10/SFRP2/ROBO1/MTSS1/RGCC/IL12A",14
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","32/674","269/12380",0.118959107806691,2.18503524428315,4.71504535572381,2.55581005587743e-05,0.00286591500932389,0.00286591500932389,"JUN/TNFAIP6/TGFBR2/CILP/INHBE/PMEPA1/CHRDL2/TGFB2/GDF5/CCN1/MSTN/FSTL5/CCN3/CRIM1/TMEM119/GDF15/THBS1/BMPER/INHBB/FBN2/CDKN2B/FSTL3/SFRP4/GDF7/SAP30/TMEM100/ING2/RGCC/ACVR1C/FST/CITED2/TSC22D1",32
