"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"keratan sulfate I, degradation product 25",4,0.137,2.671,0.035,0.4861,"GNS; HEXB; HEXD; HEXA",0.9916
"keratan sulfate II (core 2-linked), degradation product 7",4,0.137,2.671,0.035,0.4862,"GNS; HEXB; HEXD; HEXA",0.9916
"2-O-acetyl-ADP-D-ribose",3,-0.215,2.302,0.034,0.4862,"MACROD1; OARD1; MACROD2",0.9916
"cysteine",58,0.061,10.115,0.03,0.488,"CTH; CDO1; GOT1; GOT2; TXNRD2; TXNRD1; TXNRD3; CBS",0.9929
"guanosine",15,0.005,5.152,0.03,0.4882,"ACP3; NT5C3A; NT5C2; NT5E; NT5C; NT5C3B; NT5C1B; NT5M",0.9929
"9-cis-retinoate",20,0.147,5.939,0.029,0.4884,"ALDH1A1; ALDH1A2; CYP26B1; UGT3A1; UGT2B4; UGT1A6; UGT2B7; UGT1A4",0.9929
"alpha-NAD(+)",3,-0.215,2.302,0.025,0.4899,"MACROD1; OARD1; MACROD2",0.9929
"urea",11,0.236,4.378,0.025,0.4902,"MPO; ARG1; AGMAT; AQP9; SLC14A1; SLC14A2; ALLC; LPO",0.9929
"(5Z,8Z,11Z)-eicosatrienoyl-CoA",36,0.121,7.953,0.023,0.4909,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"phytosphingosine",6,0.129,3.241,0.022,0.4914,"ASAH1; ACER2; ACER3; ASAH2; ACER1; SPHK1",0.9929
"1,2-diacylglycerol-LD-TAG pool",41,0.125,8.431,0.011,0.4957,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; DGKI",0.9929
"(R)-S-lactoylglutathione",11,-0.045,4.373,0.003,0.4987,"GLOD4; GLO1; HAGH; HAGHL; ADH4; ADH5; ADH7; ADHFE1",0.9929
"oxypurinol",3,-0.067,2.282,0.003,0.4987,"XDH; AOX1; SLC22A7",0.9929
"PGH3",6,0.237,3.2,0.002,0.4991,"PTGS2; PTGS1; TBCB; PTGES2; PTGES3; PTGES",0.9929
"nicotinate D-ribonucleoside",11,-0.019,4.371,0.002,0.4992,"ACP3; NT5C3A; NT5M; NT5C2; NT5E; NT5C; RBAK; NT5C3B",0.9929
"VI2Fuc-nLc6",8,-0.039,3.701,0.001,0.4998,"FUT1; FUT2; FUT9; FUT6; FUT3; FUT5; FUT4; ABO",0.9929
"selenite",3,0.064,2.298,-0.001,0.5004,"TXNRD2; TXNRD1; TXNRD3",0.9929
"trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA",8,0.194,3.683,-0.002,0.5009,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ELOVL1",0.9929
"gpi_sig",5,0.119,2.954,-0.004,0.5018,"GPAA1; PIGS; PIGK; PIGU; PIGT",0.9929
"ibuprofen acyl glucuronide",3,-0.505,2.261,-0.004,0.5016,"UGT1A3; UGT1A9; UGT2B7",0.9929
"mem2emgacpail_prot heparan sulfate",5,0.119,2.954,-0.006,0.5025,"PIGK; GPAA1; PIGT; PIGU; PIGS",0.9929
"heparan sulfate proteoglycan",4,0.181,2.603,-0.007,0.5027,"HS3ST3B1; HS3ST3A1; HS3ST1; HPSE",0.9929
"2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA",8,0.194,3.683,-0.009,0.5035,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ELOVL1",0.9929
"O-propanoylcarnitine",7,0.175,3.524,-0.009,0.5038,"SLC25A20; CPT1C; CPT1A; CPT1B; CRAT; CPT2; SLC22A5",0.9929
"glycophosphatidylinositol-(GPI)-anchored-protein-precursor",5,0.119,2.954,-0.01,0.504,"GPAA1; PIGS; PIGK; PIGU; PIGT",0.9929
"O-acetylcarnitine",7,0.175,3.524,-0.011,0.5045,"SLC25A20; CPT1C; CPT1A; CPT1B; CRAT; CPT2; SLC22A5",0.9929
"1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16), Sn1-Lpc (22:5)-W6",5,0.24,2.833,-0.013,0.5051,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"keratan sulfate I, degradation product 19",4,0.137,2.671,-0.014,0.5055,"GNS; HEXB; HEXD; HEXA",0.9929
"trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA",8,0.194,3.683,-0.016,0.5065,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ELOVL1",0.9929
"keratan sulfate I, degradation product 37",4,0.137,2.671,-0.018,0.5071,"GNS; HEXB; HEXD; HEXA",0.9929
"2-hydroxy S-ibuprofen-glucuronide",3,-0.505,2.261,-0.019,0.5078,"UGT1A3; UGT1A9; UGT2B7",0.9929
"S-carboxy ibuprofen glucuronide",3,-0.505,2.261,-0.02,0.5081,"UGT1A3; UGT1A9; UGT2B7",0.9929
"trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA",8,0.194,3.683,-0.023,0.509,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ELOVL1",0.9929
"1-acyl-PE pool",32,0.065,7.417,-0.025,0.51,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; PLA2G10",0.9929
"3-hydroxy S-ibuprofen-glucuronide",3,-0.505,2.261,-0.025,0.5099,"UGT1A3; UGT1A9; UGT2B7",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA), B (IdoA2S-GalNAc4S), and E (GalNAc4,6diS-GlcA), precursor 1",9,0.246,3.932,-0.025,0.5101,"CHST13; CHST11; CHST12; CHST14; CHST7; CHPF; CHPF2; CHSY3",0.9929
"3alpha,12alpha-dihydroxy-5beta-cholanate",11,-0.185,4.357,-0.027,0.5108,"CYP7A1; SLC27A2; SLC27A5; CYP8B1; ABCB11; ABCC3; ABCC11; CYP3A4",0.9929
"dGMP",16,0.055,5.201,-0.032,0.5126,"ITPA; DGUOK; ACP3; NT5C3A; NT5C2; NT5E; NT5C; RBAK",0.9929
"ferrocytochrome B5",7,0.205,3.477,-0.033,0.5132,"SCD; SCD5; CYB5R3; CYB5R4; CYB5R2; CYB5RL; CYB5R1",0.9929
"lipoxin A4",3,0.002,2.268,-0.036,0.5143,"EPHX2; EPHX1; HPGD",0.9929
"1-hydroxy S-ibuprofen-glucuronide",3,-0.505,2.261,-0.037,0.5149,"UGT1A3; UGT1A9; UGT2B7",0.9929
"eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA",8,0.194,3.683,-0.037,0.5147,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ELOVL1",0.9929
"PC-LD pool",42,0.066,8.488,-0.038,0.5153,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; PCTP",0.9929
"keratan sulfate I, degradation product 28",4,0.137,2.671,-0.038,0.5153,"GNS; HEXB; HEXD; HEXA",0.9929
"stearoylcarnitine",8,0.135,3.626,-0.039,0.5156,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; CRAT; CPT2; SLC22A5",0.9929
"heptadecanoylcarnitine",8,0.135,3.626,-0.041,0.5164,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; CRAT; CPT2; SLC22A5",0.9929
"salsolinol",3,-0.002,2.291,-0.041,0.5164,"LRTOMT; COMT; SLC22A2",0.9929
"phosphocholine",11,0.094,4.317,-0.042,0.5167,"CHKA; CHKB; PCYT1A; PCYT1B; SMPD1; ENPP7; SMPD4; SMPD3",0.9929
"1-phosphatidyl-1D-myo-inositol-3-phosphate",34,0.007,7.552,-0.047,0.5189,"PIP5K1C; PIP5K1B; PIP5K1A; PIP4K2C; PIP4K2A; PIP4K2B; PIK3C3; MTMR12",0.9929
"2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA",8,0.194,3.683,-0.047,0.5187,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ELOVL1",0.9929
"G00020",4,0.24,2.573,-0.047,0.5187,"MGAT4C; MGAT4B; MGAT4A; MGAT5",0.9929
"erythrose-4-phosphate",4,0.233,2.528,-0.047,0.5189,"ALDOB; ALDOC; TKT; TALDO1",0.9929
"mitooxidized thioredoxin",8,0.18,3.668,-0.05,0.5198,"RRM1; TXN; TXN2; RRM2B; RRM2; TXNRD2; TXNRD1; TXNRD3",0.9929
"ribose-1-phosphate",4,0.478,2.553,-0.05,0.5199,"PGM2; PNP; UPP2; UPP1",0.9929
"pentanoyl-CoA",14,-0.097,4.904,-0.051,0.5203,"ACSM3; ACSM2B; ACSM1; ACSM5; ACSM4; ACSM2A; ACAA2; HADHA",0.9929
"thioredoxin",10,0.135,4.14,-0.052,0.5207,"RRM1; TXN; TXN2; RRM2B; RRM2; TXNRD1; TXNRD3; SULT1A3",0.9929
"leukotriene A4",7,-0.167,3.425,-0.053,0.521,"ALOX5; LTA4H; RNPEP; ALOX12; SLCO1B1; SLCO2A1; SLC22A10",0.9929
"citrulline",12,-0.077,4.478,-0.054,0.5216,"SLC25A15; NOS3; NOS1; NOS2; SLC7A9; OTC; ASS1; SLC7A2",0.9929
"1-methylpyrrolinium",3,-0.372,2.199,-0.055,0.5219,"AOC1; AOC2; AOC3",0.9929
"mitothioredoxin",8,0.18,3.668,-0.055,0.522,"RRM1; TXN; TXN2; RRM2B; RRM2; TXNRD2; TXNRD1; TXNRD3",0.9929
"kinetensin",4,0.85,2.652,-0.057,0.5228,"CMA1; CPA3; TPSB2; TPSAB1",0.9929
"maltoheptaose",3,-0.015,2.194,-0.057,0.5226,"LYZL1; AMY1A; AMY2B",0.9929
"N-acetylglucosamine-6-phosphate",4,0.103,2.582,-0.062,0.5246,"NAGK; GNPNAT1; AMDHD2; PGM3",0.9929
"ocosatetraenoylcarnitine",8,0.135,3.626,-0.066,0.5264,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; CRAT; CPT2; SLC22A5",0.9929
"oxidized thioredoxin",10,0.135,4.14,-0.069,0.5274,"RRM1; TXN; TXN2; RRM2B; RRM2; TXNRD1; TXNRD3; SULT1A3",0.9929
"spermidine",11,-0.075,4.259,-0.07,0.528,"SRM; SMS; SMOX; SLC22A1; SAT2; SAT1; AOC1; AOC2",0.9929
"N-methylsalsolinol",4,0.123,2.565,-0.073,0.529,"LRTOMT; COMT; SLC22A2; SLC29A4",0.9929
"2-Stearoylglycerophosphocholine",5,0.24,2.833,-0.074,0.5295,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"1-Heptadecanoylglycerophosphocholine",5,0.24,2.833,-0.075,0.5297,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"hexadecenoylcarnitine(9)",10,0.155,4.118,-0.077,0.5306,"CPT1C; CPT1A; CPT1B; CPT2; SLC25A20; SLC22A4; SLC22A1; CRAT",0.9929
"1-Palmitoylglycerophosphocholine",5,0.24,2.833,-0.079,0.5314,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"maltotetraose",3,-0.015,2.194,-0.079,0.5316,"LYZL1; AMY2B; AMY1A",0.9929
"1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3",5,0.24,2.833,-0.08,0.5317,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"maltodecaose",3,-0.015,2.194,-0.08,0.532,"LYZL1; AMY2B; AMY1A",0.9929
"sphinganine-1-phosphate",8,0.176,3.638,-0.08,0.5317,"SPHK1; SPHK2; DBP; PLPP3; PLPP1; PLPP2; SGPL1; SGPP1",0.9929
"maltononaose",3,-0.015,2.194,-0.082,0.5325,"LYZL1; AMY2B; AMY1A",0.9929
"prostaglandin G2",5,-0.056,2.845,-0.083,0.5329,"PTGS2; PTGS1; SLCO1B1; SLCO2A1; SLC22A10",0.9929
"2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA",8,0.194,3.683,-0.085,0.5337,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ELOVL1",0.9929
"9-cis-retinal",14,-0.121,4.852,-0.085,0.534,"RDH14; RDH11; RDH12; RDH13; RDH5; ADH4; DHRS4; RDH16",0.9929
"2-Oleoylglycerophosphocholine",5,0.24,2.833,-0.086,0.5344,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"maltopentaose",3,-0.015,2.194,-0.088,0.5349,"LYZL1; AMY2B; AMY1A",0.9929
"1-Stearoylglycerophosphocholine",5,0.24,2.833,-0.09,0.536,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"5(S),6(S)-epoxy-15(R)-HEPE",3,0.008,2.143,-0.09,0.5357,"ALOX5; EPHX2; EPHX1",0.9929
"spermidine dialdehyde",3,-0.372,2.199,-0.09,0.5359,"AOC1; AOC2; AOC3",0.9929
"spermidine monoaldehyde 1",4,-0.224,2.513,-0.09,0.536,"AOC1; AOC2; AOC3; FAR1",0.9929
"N-methylputrescine",3,-0.372,2.199,-0.091,0.5364,"AOC1; AOC2; AOC3",0.9929
"1-Linoleoylglycerophosphocholine (Delta 9,12)",5,0.24,2.833,-0.092,0.5368,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"13-Docosenoyl Coenzyme A",11,0.013,4.242,-0.092,0.5365,"ABCD1; ABCD2; SLC27A2; SLC27A4; SLC27A1; SLC27A3; SLC27A5; EHHADH",0.9929
"1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",5,0.24,2.833,-0.093,0.5369,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"maltohexaose",3,-0.015,2.194,-0.095,0.5378,"LYZL1; AMY2B; AMY1A",0.9929
"sulphate-conjugate-acetaminophen",3,-0.101,2.158,-0.095,0.538,"SULT1A1; ABCC3; ABCC4",0.9929
"tridecanoylcarnitine",8,0.135,3.626,-0.095,0.5379,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; CRAT; CPT2; SLC22A5",0.9929
"1-alpha,25-dihydroxyvitamin D2",3,0.384,2.156,-0.096,0.5383,"CUBN; LRP2; GC",0.9929
"1-Docosahexaenoylglycerophosphocholine",5,0.24,2.833,-0.097,0.5387,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"3,5-Diiodothyroacetate",12,0.121,4.388,-0.097,0.5387,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19), Sn1-Lpc (22:6)",5,0.24,2.833,-0.098,0.5389,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"dodecanoylcarnitine",8,0.135,3.626,-0.098,0.5391,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; CRAT; CPT2; SLC22A5",0.9929
"nonadecanoylcarnitine",8,0.135,3.626,-0.101,0.54,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; CRAT; CPT2; SLC22A5",0.9929
"mem2emgacpail heparan sulfate",9,0.043,3.827,-0.102,0.5406,"PIGG; PIGF; PIGZ; PIGO; PIGK; GPAA1; PIGT; PIGU",0.9929
"(8Z,11Z)-eicosadienoyl-CoA",38,0.112,7.981,-0.103,0.541,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"n3m2masn",4,0.24,2.573,-0.103,0.541,"MGAT4C; MGAT4B; MGAT4A; MGAT5",0.9929
"1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17), Sn1-Lpc (20:5)",5,0.24,2.833,-0.104,0.5416,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"5-oxo-12-HETE",4,-0.059,2.521,-0.104,0.5413,"ALOX12; CBR3; CBR1; DHRS4",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5",7,0.22,3.394,-0.106,0.5423,"HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3",0.9929
"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3",9,0.038,3.827,-0.108,0.5431,"HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3; KL",0.9929
"1-Oleoylglycerophosphocholine (Delta 9)",5,0.24,2.833,-0.109,0.5436,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"5-carboxy-gamma-chromanol",28,0.098,6.813,-0.109,0.5434,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17), Sn1-Lpc (20:4)",5,0.24,2.833,-0.11,0.5439,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"1-Arachidonoyl-Glycero-3-Phosphocholine",5,0.24,2.833,-0.111,0.5441,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"1-Palmitoleoylglycerophosphocholine (Delta 9)",5,0.24,2.833,-0.111,0.5441,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"1D-myo-inositol-1,3,4,5-tetrakisphosphate",9,0.153,3.83,-0.112,0.5445,"ITPKB; ITPKA; ITPKC; MINPP1; INPP5A; INPP5D; INPP5K; ITPK1",0.9929
"lipoxin B4",3,0.008,2.143,-0.114,0.5455,"ALOX5; EPHX2; EPHX1",0.9929
"fatty acid-chylomicron pool",15,0.278,4.996,-0.116,0.546,"LPL; PNPLA3; LIPG; CEL; PNLIPRP1; DAGLB; PNPLA2; LIPE",0.9929
"25-hydroxyvitamin D3-26,23-lactol",3,-0.103,2.129,-0.117,0.5468,"CYP2E1; COQ6; CYP4V2",0.9929
"1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16), Sn1-Lpc (22:4)",5,0.24,2.833,-0.118,0.5469,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"O-butanoylcarnitine",7,0.166,3.347,-0.12,0.5479,"CPT1C; CPT1A; CPT1B; SLC25A20; CRAT; CPT2; CROT",0.9929
"1-Pentadecanoylglycerophosphocholine, Sn1-Lpc (15:0)",5,0.24,2.833,-0.121,0.5481,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"1-Eicosenoylglycerophosphocholine (Delta 11) ,Sn1-Lpc (20:1)",5,0.24,2.833,-0.122,0.5487,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"2-Hydroxyamino-3,8-Dimethylimidazo[4,5-F]Quinoxaline",12,0.121,4.388,-0.124,0.5492,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19), Sn1-Lpc (22:5)-W3",5,0.24,2.833,-0.125,0.5498,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"7-carboxy-alpha-tocotrienol",28,0.098,6.813,-0.125,0.5498,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"NH4+",31,0.258,7.258,-0.125,0.5496,"SLC9A3; SLC9A1; SLC9A2; SLC24A2; SLC24A1; RHBG; RHCG; SIRT6",0.9929
"gamma-linolenoylcarnitine",8,0.135,3.626,-0.127,0.5504,"SLC25A20; CPT1C; CPT1A; CPT1B; SLC22A4; CRAT; CPT2; SLC22A5",0.9929
"3,5,3,5-Tetraiodothyroacetate",12,0.121,4.388,-0.128,0.5509,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"2-Linoleoylglycerophosphocholine",5,0.24,2.833,-0.129,0.5514,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"3,3,5-Triiodothyroacetate",12,0.121,4.388,-0.13,0.5519,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"(11Z,14Z,17Z)-eicosatrienoylcarnitine",8,0.135,3.626,-0.131,0.5521,"CPT1C; CPT1A; CPT1B; SLC22A4; SLC25A20; CRAT; CPT2; SLC22A5",0.9929
"calcitetrol",3,-0.103,2.129,-0.131,0.5519,"CYP2E1; COQ6; CYP4V2",0.9929
"1-nitronaphthalene-7,8-oxide",24,-0.2,6.285,-0.133,0.5529,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2",9,0.038,3.827,-0.133,0.553,"HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3; KL",0.9929
"1-Myristoylglycerophosphocholine",5,0.24,2.833,-0.134,0.5534,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"procollagen-5-hydroxy-L-lysine",5,0.11,2.818,-0.134,0.5533,"PLOD2; PLOD1; PLOD3; COLGALT1; COLGALT2",0.9929
"glucosaminyl-acylphosphatidylinositol",3,0.135,2.151,-0.142,0.5563,"PIGW; PIGX; PIGM",0.9929
"keratan sulfate II biosynthesis, precursor 1",7,-0.051,3.318,-0.143,0.5568,"ST3GAL1; ST3GAL4; ST3GAL2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"5-oxo-ETE",4,-0.059,2.521,-0.146,0.558,"CBR3; CBR1; DHRS4; ALOX12",0.9929
"1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15)",5,0.24,2.833,-0.149,0.5593,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"trichloroethene",24,-0.2,6.285,-0.15,0.5596,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"23S,25,26-trihydroxyvitamin D3",3,-0.103,2.129,-0.152,0.5603,"CYP2E1; COQ6; CYP4V2",0.9929
"1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12)",5,0.24,2.833,-0.153,0.5607,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"[protein]-L-serine",23,0.024,6.149,-0.153,0.5607,"XYLT1; XYLT2; HPSE; GALNT2; GALNT8; GALNT13; GALNT17; GALNT5",0.9929
"24-oxo-1alpha,25-dihydroxyvitamin D3",3,-0.103,2.129,-0.154,0.5613,"CYP2E1; COQ6; CYP4V2",0.9929
"4-cholesten-7alpha,24(S)-diol-3-one",3,-0.131,2.102,-0.154,0.5612,"HSD3B7; CYP8B1; AKR1D1",0.9929
"1-Eicosadienoylglycerophosphocholine (Delta 11,14)",5,0.24,2.833,-0.155,0.5617,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24",5,0.24,2.833,-0.155,0.5617,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"homoserine",5,-0.116,2.836,-0.155,0.5617,"SLC43A1; SLC7A5; SLC7A6; SLC3A1; SLC7A9",0.9929
"keratan sulfate II (core 4-linked), biosynthesis, precursor 1",7,-0.051,3.318,-0.155,0.5617,"B4GALT3; B4GALT2; B4GALT1; B4GALT5; ST3GAL1; ST3GAL4; ST3GAL2",0.9929
"6-beta-OH-gliclazide",4,-0.445,2.47,-0.156,0.5621,"CYP2C9; CYP2C19; CYP2C8; CYP2D6",0.9929
"spermine dialdehyde",3,-0.372,2.199,-0.156,0.5618,"AOC1; AOC2; AOC3",0.9929
"3-phosphonooxypyruvate",3,-0.198,2.137,-0.158,0.5628,"PHGDH; UBAC2; PSAT1",0.9929
"homocarnosine",3,-0.187,2.112,-0.158,0.5626,"CARNS1; CNDP1; CNDP2",0.9929
"4-nitrophenyl-phosphate",7,0.069,3.3,-0.16,0.5636,"ACP3; ACP5; PXYLP1; ACP6; ACP2; ALPL; ALPP",0.9929
"2,2-dichloroacetaldehyde",24,-0.2,6.285,-0.165,0.5655,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"3,5,3-Triiodothyroacetate",12,0.121,4.388,-0.167,0.5664,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"9-carboxy-alpha-tocotrienol",28,0.098,6.813,-0.167,0.5662,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"1-Nonadecanoylglycerophosphocholine, Sn1-Lpc (19:0)",5,0.24,2.833,-0.171,0.5678,"ABCB4; ATP8B1; ATP10A; ATP8B2; ABCA1",0.9929
"estrone-glucuronide",3,0.323,2.126,-0.174,0.5691,"UGT1A1; UGT1A8; ABCC3",0.9929
"prostaglandin I2",4,-0.169,2.433,-0.176,0.57,"PTGIS; SLCO1B1; SLCO2A1; SLC22A10",0.9929
"5-carboxy-alpha-chromanol",28,0.098,6.813,-0.179,0.5712,"SLC27A2; HSD17B4; ACOX3; ACOT1; HADH; ACSF3; ACOT4; AMACR",0.9929
"2-Hydroxyamino-Meiqx-N2-(Beta-1-Glucosiduronyl)-2-Hydroxyamino-3,8-Dimethylimidazo[4,5-F]Quinoxaline",12,0.121,4.388,-0.18,0.5714,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"3,5,3,5-Tetraiodothyroacetate-Beta-D-Glucuronoside",12,0.121,4.388,-0.18,0.5713,"UGT1A1; UGT2B11; UGT2B4; UGT2B28; UGT1A6; UGT1A4; UGT2B15; UGT1A3",0.9929
"1,2-diacylglycerol-LD-PE pool",26,0.114,6.497,-0.182,0.5722,"PLPP3; LPIN2; LPIN3; PLPP2; PLPP5; LPIN1; PLPP4; PLPPR2",0.9929
"(5S,6S)-epoxy-(15R)-hydroxy-ETE",3,0.008,2.143,-0.183,0.5725,"ALOX5; EPHX2; EPHX1",0.9929
"1,1-dichloroethylene epoxide",24,-0.2,6.285,-0.184,0.5731,"CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7; CYP2C19; CYP2C8; CYP1A1",0.9929
"1-phosphatidyl-myo-inositol-3,5-bisphosphate",20,-0.029,5.759,-0.184,0.5729,"PIKFYVE; MTMR7; MTMR2; MTMR8; TNS2; SACM1L; INPPL1; NT5DC3",0.9929
"farnesyl-PP",9,0.283,3.797,-0.186,0.5739,"FDPS; GGPS1; FDFT1; PDSS2; PDSS1; FNTB; FNTA; COX10",0.9929
"maltose",6,-0.071,3.011,-0.188,0.5745,"GANC; MGAM; GAA; LYZL1; AMY2B; AMY1A",0.9929
"23s,25-dihydroxyvitamin D3",3,-0.103,2.129,-0.189,0.5748,"CYP2E1; COQ6; CYP4V2",0.9929
"10,13,16-docosatrienoyl-CoA",35,0.061,7.594,-0.19,0.5752,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.9929
"24-oxo-1alpha,23,25-trihydroxyvitamin D3",3,-0.103,2.129,-0.19,0.5754,"CYP2E1; COQ6; CYP4V2",0.9929
"GTP",99,0.061,12.894,-0.19,0.5754,"CMPK1; NME7; NME4; NME1; NME3; NME2; NME6; ADCY3",0.9929
"orotate",3,0.029,2.101,-0.191,0.5757,"DHODH; UMPS; SLC22A7",0.9929
