"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 1",4,0.167,3.904,1.288,0.0988,"ARSB; GALNS; GLB1; CTSA",0.5209
"3-oxoheneicosanoyl-CoA",11,0.349,5.65,1.283,0.09973,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12; HSD17B10; HADHA",0.5235
"leukotriene E4",43,0.06,9.822,1.283,0.09971,"DPEP2; SLC22A10; ZDHHC12; NAT16; LPCAT2; ZDHHC5; SATL1; ZDHHC9",0.5235
"perillic acid",5,-0.041,4.191,1.278,0.1007,"ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1",0.526
"9-cis-4-oxo-13,14-dihydro-retinoate",19,0.049,6.989,1.276,0.1011,"ADH5; AKR1B10; CBR4; RDH13; HSD17B8; HSD17B11; WWOX; BDH2",0.526
"W-Hydroxydecanoicacid",4,-0.174,3.821,1.275,0.1012,"CYP4F2; CYP4F3; ADH5; ALDH3A2",0.526
"atorvastatin-acid",13,-0.237,5.954,1.274,0.1014,"CYP3A5; CYP3A4; CYP2C8; SLC16A1; SLCO2B1; PON3; ABCB1; UGT1A1",0.526
"oleoyl-CoA",49,0.159,10.395,1.271,0.1019,"CPT1C; CPT1A; CPT1B; CPT2; SCD; FADS2; SLC27A2; ACSL1",0.526
"5,12-DiHETE",7,0.196,4.744,1.27,0.102,"CBR3; CBR1; DHRS4; CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.526
"[protein]",9,-0.009,5.212,1.269,0.1022,"SEC11C; SPCS1; SPCS2; SEC11A; SPCS3; SIRT6; ART4; ART3",0.526
"histone-L-lysine",40,-0.093,9.598,1.269,0.1023,"KMT2B; NSD1; NSD2; SMYD3; KMT2C; EZH1; SETD1B; KMT5A",0.526
"alpha-hydroxyisocaproic acid",15,0.003,6.303,1.266,0.1028,"SDR42E1; MDH1B; BDH2; AKR1C1; ADH5; HTATIP2; AKR1B10; AKR1B15",0.526
"tauroursodeoxycholate",8,-0.365,5.032,1.266,0.1028,"SLC10A1; SLCO1B3; SLCO1A2; BAAT; ABCB11; ABCC3; ABCC11; SULT2A1",0.526
"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]glutathione",12,-0.024,5.765,1.265,0.1029,"SIRT6; NTAQ1; NTAN1; MACROD1; SIRT7; SIRT3; SIRT1; OARD1",0.526
"ibuprofen-CoA-S form",5,0.192,4.21,1.265,0.1029,"AMACR; ACOT11; ACOT2; ACOT8; ACOT4",0.526
"4-methylthio-2-oxobutanoic acid",3,-0.2,3.404,1.263,0.1033,"ADI1; IL4I1; TAT",0.526
"perillyl aldehyde",5,-0.041,4.191,1.263,0.1033,"ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1",0.526
