"gs_name","gs_description","drug_name"
"MITSIADES_RESPONSE_TO_APLIDIN_DN","Genes down-regulated in the MM1S cells (multiple myeloma) after treatment with aplidin [PubChem=44152164], a marine-derived compound with potential anti-cancer properties.","aplidin"
"MITSIADES_RESPONSE_TO_APLIDIN_UP","Genes up-regulated in the MM1S cells (multiple myeloma) after treatment with aplidin [PubChem=44152164], a marine-derived compound with potential anti-cancer properties.","aplidin"
"MOREIRA_RESPONSE_TO_TSA_DN","Down-regulated in CD4+ [GeneID=920] T lymphocytes after 4 h treatment with 100 nM TSA [PubChem=5562].","tsa"
"MOREIRA_RESPONSE_TO_TSA_UP","Up-regulated in CD4+ [GeneID=920] T lymphocytes after 4 h treatment with 100 nM TSA [PubChem=5562].","tsa"
"MOTAMED_RESPONSE_TO_ANDROGEN_DN","Genes down-regulated in ovarian epithelial cells in response to dihydrotestosterone (DHT) [PubChem=10635].","(dht)"
"MOTAMED_RESPONSE_TO_ANDROGEN_UP","Genes up-regulated in ovarian epithelial cells in response to dihydrotestosterone (DHT) [PubChem=10635].","(dht)"
"MUELLER_METHYLATED_IN_GLIOBLASTOMA","Genes up-regulated in short-term cultured glioblastomas after azacitidine [PubChem=9444] treatment.","azacitidine"
"NELSON_RESPONSE_TO_ANDROGEN_DN","Genes down-regulated in LNCaP cells (prostate cancer) in response to synthetic androgen R1881 [PubChem=13766].","r1881"
"NELSON_RESPONSE_TO_ANDROGEN_UP","Genes up-regulated in LNCaP cells (prostate cancer) in response to synthetic androgen R1881 [PubChem=13766].","r1881"
"NOUZOVA_TRETINOIN_AND_H4_ACETYLATION","Genes whose CpG islands showed greatly increased histone H4 acetylation in NB4 cells (acute promyelocytic leukemia, APL) upon treatment with tretinoin [PubChem=444795].","tretinoin"
"NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_DN","Genes down-regulated in K562 cells (bone marrow) after treatment with dasatinib [PubChem=3062316] or imatinib [PubChem=5291].","imatinib"
"NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_UP","Genes up-regulated in K562 cells (bone marrow) after treatment with dasatinib [PubChem=3062316] or imatinib [PubChem=5291].","imatinib"
"PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_DN","Genes down-regulated in M2-10B4 cells (osteoblast) in response to phenylamil [PubChem=4755].","phenylamil"
"PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_UP","Genes up-regulated in M2-10B4 cells (osteoblast) in response to phenylamil [PubChem=4755].","phenylamil"
"PARK_TRETINOIN_RESPONSE","Genes up-regulated in U937 cells (acute promyelocytic leukemia, APL) by tretinoin (ATRA) [PubChem=444795].","(atra)"
"PARK_TRETINOIN_RESPONSE_AND_PML_RARA_FUSION","Genes up-regulated by tretinoin (ATRA) [PubChem=444795] in U937 cells (acute promyelocytic leukemia, APL) made sensitive to the drug by expression of the PML-RARA fusion [GeneID=5371;5914].","(atra)"
"PARK_TRETINOIN_RESPONSE_AND_RARA_PLZF_FUSION","Genes up-regulated by tretinoin (ATRA) [PubChem=444795] in U937 cells (acute promyelocytic leukemia, APL) made resistant to the drug by expression of the PLZF-RARA fusion [GeneID=7704, 5914].","(atra)"
"PEART_HDAC_PROLIFERATION_CLUSTER_DN","Cell proliferation genes down-regulated by histone deacetylase (HDAC) inhibitors SAHA and depsipeptide [PubChem=5311;5352062].","depsipeptide"
"PEART_HDAC_PROLIFERATION_CLUSTER_UP","Cell proliferation genes up-regulated by histone deacetylase (HDAC) inhibitors SAHA and depsipeptide [PubChem=5311;5352062].","depsipeptide"
"PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_DN","Antigen processing and presentation genes down-regulated in JY cells (B lymphocytes) treated with trichostatin A (TSA) [PubChem=5562].","(tsa)"
"PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP","Antigen processing and presentation genes up-regulated in JY cells (B lymphocytes) treated with TSA [PubChem=5562].","tsa"
"PODAR_RESPONSE_TO_ADAPHOSTIN_DN","Down-regulated genes in MM1.S cells (multiple myeloma) treated with adaphostin [PubChem=387042], a tyrosine kinase inhibitor with anticancer properties.","adaphostin"
"PODAR_RESPONSE_TO_ADAPHOSTIN_UP","Up-regulated genes in MM1.S cells (multiple myeloma) treated with adaphostin [PubChem=387042], a tyrosine kinase inhibitor with anticancer properties.","adaphostin"
"POS_HISTAMINE_RESPONSE_NETWORK","Genes corresponding to the histamine [PubChem=774] response network.","histamine"
"POS_RESPONSE_TO_HISTAMINE_DN","Genes gradually down-regulated by histamine [PubChem=774] in B16-F10 melanoma tumors.","histamine"
"POS_RESPONSE_TO_HISTAMINE_UP","Genes gradually up-regulated by histamine [PubChem=774] in B16-F10 melanoma tumors.","histamine"
"REICHERT_G1S_REGULATORS_AS_PI3K_TARGETS","G1 to S phase regulators significantly changed in DanG cells (pancreatic cancer) treated with Ly294002 [PubChem=3973], a phosphoinositide 3-kinase (PI3K) inhibitor.","ly294002"
"RIGGINS_TAMOXIFEN_RESISTANCE_DN","Genes down-regulated SUM44/LCCTam cells (breast cancer) resistant to 4-hydroxytamoxifen [PubChem=63062] relative to the parental SUM44 cells sensitive to the drug.","4-hydroxytamoxifen"
"RIGGINS_TAMOXIFEN_RESISTANCE_UP","Genes up-regulated SUM44/LCCTam cells (breast cancer) resistant to 4-hydroxytamoxifen [PubChem=63062] relative to the parental SUM44 cells sensitive to the drug.","4-hydroxytamoxifen"
"RUAN_RESPONSE_TO_TNF_TROGLITAZONE_DN","Adipocyte abundant genes down-regulated in 3T3-L1 cells (fibroblasts induced to differentiate to adipocytes) in response to troglitazone [PubChem=5591] and TNF [GeneID=7124].","troglitazone"
"RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP","Adipocyte abundant genes up-regulated in 3T3-L1 cells (fibroblasts induced to differentiate to adipocytes) in response to troglitazone [PubChem=5591] and TNF [GeneID=7124].","troglitazone"
"RUAN_RESPONSE_TO_TROGLITAZONE_DN","Adipocyte abundant genes down-regulated in 3T3-L1 cells (fibroblasts induced to differentiate to adipocytes) in response to troglitazone [PubChem=5591].","troglitazone"
"RUAN_RESPONSE_TO_TROGLITAZONE_UP","Adipocyte abundant genes up-regulated in 3T3-L1 cells (fibroblasts induced to differentiate to adipocytes) in response to troglitazone [PubChem=5591].","troglitazone"
"SANDERSON_PPARA_TARGETS","Hepatic genes regulated by fasting or in response to WY14643 [PubChem=5694] and which require intact PPARA [GeneID=5465].","wy14643"
"SASSON_RESPONSE_TO_FORSKOLIN_DN","Genes down-regulated in primary granulosa cells in response to forskolin [PubChem=47936].","forskolin"
"SASSON_RESPONSE_TO_FORSKOLIN_UP","Genes up-regulated in primary granulosa cells in response to forskolin [PubChem=47936].","forskolin"
"SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER","50 most interesting genes up-regulated in pancreatic cancer cell lines (AsPC1, Hs766T, MiaPaCa2, Panc1) but not in the non-neoplastic cells (HPDE) by TSA [PubChem=5562].","tsa"
"SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1","Genes up-regulated in the pancreatic cancer cell lines (AsPC1, Hs766T, MiaPaCa2, Panc1) but not in the non-neoplastic cells (HPDE) by decitabine (5-aza-2'-deoxycytidine) [PubChem=451668].","(5-aza-2'-deoxycytidine)"
"SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_2","50 most interesting genes up-regulated in the pancreatic cancer cell lines (AsPC1, Hs766T, MiaPaCa2, Panc1) but not in the non-neoplastic cells (HPDE) by decitabine (5-aza-2'-deoxycytidine) [PubChem=451668].","(5-aza-2'-deoxycytidine)"
"SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER","50 genes up-regulated in the pancreatic cancer cell lines (AsPC1, Hs766T, MiaPaCa2, Panc1) but not in the non-neoplastic cells (HPDE) by the combination of decitabine  and TSA [PubChem=451668;5562].","tsa"
"SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN","Genes down-regulated in the urogenital sinus (UGS) of day E16 females exposed to the androgen dihydrotestosterone [PubChem=10635] for 12 h.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP","Genes up-regulated in the urogenital sinus (UGS) of day E16 females exposed to the androgen dihydrotestosterone [PubChem=10635] for 12 h.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN","Genes down-regulated in the urogenital sinus (UGS) of day E16 females exposed to the androgen dihydrotestosterone [PubChem=10635] for 48 h.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP","Genes up-regulated in the urogenital sinus (UGS) of day E16 females exposed to the androgen dihydrotestosterone [PubChem=10635] for 48 h.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN","Genes down-regulated in the urogenital sinus (UGS) of day E16 females exposed to the androgen dihydrotestosterone [PubChem=10635] for 6 h.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_UP","Genes up-regulated in the urogenital sinus (UGS) of day E16 females exposed to the androgen dihydrotestosterone [PubChem=10635] for 6 h.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN","Early prostate development genes (down-regulated at 6 h dihydrotestosterone [PubChem=10635]) which are also down-regulated in normal epithelium vs high grade prostatic intraepithelial neoplasia (PIN).","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_UP","Early prostate development genes (up-regulated at 6 h dihydrotestosterone [PubChem=10635]) which are also up-regulated in normal epithelium vs high grade prostatic intraepithelial neoplasia (PIN).","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN","Early prostate development genes (down-regulated at 6 hr dihydrotestosterone [PubChem=10635]) which are also down-regulated in high grade prostatic intraepithelial neoplasia (PIN) vs invasive cancer.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_UP","Early prostate development genes (up-regulated at 6 hr dihydrotestosterone [PubChem=10635]) which are also up-regulated in high grade prostatic intraepithelial neoplasia (PIN) vs invasive cancer.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX3","Early prostate development genes (up-regulated at 6 hr dihydrotestosterone [PubChem=10635]) which are also up-regulated in lower grade vs higher grade locally invasive prostate cancers.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_DN","Early prostate development genes (down-regulated at 6 hr dihydrotestosterone [PubChem=10635]) which are also down-regulated in localized vs metastatic prostate cancers.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_UP","Early prostate development genes (up-regulated at 6 hr dihydrotestosterone [PubChem=10635]) which are also up-regulated in localized vs metastatic prostate cancers.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_DN","Early prostate development genes (down-regulated at 12 hr dihydrotestosterone [PubChem=10635]) which are also down-regulated in high grade prostatic intraepithelial neoplasia (PIN) vs invasive cancer.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_UP","Early prostate development genes (up-regulated at 12 hr dihydrotestosterone [PubChem=10635]) which are also up-regulated in high grade prostatic intraepithelial neoplasia (PIN) vs invasive cancer.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_DN","Early prostate development genes (down-regulated at 48 hr dihydrotestosterone [PubChem=10635]) which are also down-regulated in high grade prostatic intraepithelial neoplasia (PIN) vs invasive cancer.","dihydrotestosterone"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_UP","Early prostate development genes (up-regulated at 48 hr dihydrotestosterone [PubChem=10635]) which are also up-regulated in high grade prostatic intraepithelial neoplasia (PIN) vs invasive cancer.","dihydrotestosterone"
"SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN","Down-regulated in murine dorsal skin cells at 6 h after treatment with the phorbol ester carcinogen TPA [PubChem=4792].","tpa"
"SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP","Up-regulated in murine dorsal skin cells at 6 h after treatment with the phorbol ester carcinogen TPA [PubChem=4792].","tpa"
"STAMBOLSKY_RESPONSE_TO_VITAMIN_D3_DN","Genes repressed in SKBR3 cells (breast cancer) by 25-hydroxyvitamin D3 [PubChem=1593].","d3"
"STAMBOLSKY_RESPONSE_TO_VITAMIN_D3_UP","Genes induced in SKBR3 cells (breast cancer) by 25-hydroxyvitamin D3 [PubChem=1593].","d3"
"STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN","Down-regulated genes classifying non-tumor lung tissues by age after incution of lung cancer by urethane injection [PubChem=5641]: early (24-26 weeks) vs late (46 weeks).","injection"
"STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP","Up-regulated genes classifying non-tumor lung tissues by age after incution of lung cancer by urethane injection [PubChem=5641]: early (24-26 weeks) vs late (46 weeks).","injection"
"STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_DN","Genes down-regulated by estradiol [PubChem=5757] and down-regulated by ESRRA [GeneID=2101] in MCF-7 cells (breast cancer).","estradiol"
"STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_UP","Genes up-regulated by estradiol [PubChem=5757] and up-regulated by ESRRA [GeneID=2101] in MCF-7 cells (breast cancer).","estradiol"
"STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA","Genes up-regulated by estradiol [PubChem=5757] and not modulated by ESRRA [GeneID=2101] in MCF-7 cells (breast cancer).","estradiol"
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN","Genes down-regulated in esophagus by the carcinogen NMBA [PubChem=13643] and brought back to normal by a diet with PEITC [PubChem=16741] or black raspberries.","peitc"
"STONER_ESOPHAGEAL_CARCINOGENESIS_UP","Genes up-regulated in esophagus by the carcinogen NMBA [PubChem=13643] and brought back to normal by a diet with PEITC [PubChem=16741] or black raspberries.","peitc"
"STOSSI_RESPONSE_TO_ESTRADIOL","Genes up-regulated by estradiol (E2) [PubChem=5757] in U2OS cells (osteosarcoma) expressing ESR1 or ESR2 [GeneID=2099;2100].","(e2)"
"SUBTIL_PROGESTIN_TARGETS","Genes responding to progestin R5020 [PubChem=36709] treatment of T47D-MTVL cells (breast cancer).","r5020"
"SUZUKI_RESPONSE_TO_TSA","Genes up-regulated by TSA alone [PubChem=5562], with non-hypermethylated promoters, in RKO cells (colorectal cancer).","alone"
"SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1A","Genes basally silent, with hypermethylated promoters, up-regulated by the combination of TSA and decitabine [PubChem=5562;451668] in RKO cells (colorectal cancer).","decitabine"
"SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1B","Genes with some basal expression and partially methylated promoters, up-regulated by the combination of TSA and decitabine [PubChem=5562;451668] in RKO cells (colorectal cancer).","decitabine"
"SYED_ESTRADIOL_RESPONSE","Genes responsive to estradiol [PubChem=5757] both in normal and cancer ovarian cell lines.","estradiol"
"TAKAYAMA_BOUND_BY_AR","Genes whose promoters bound AR [GeneID=367] in LNCaP cells (prostate cancer) after exposure to the synthetic androgen R1881 [PubChem=13766], based on ChIP-chip analysis.","r1881"
"TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_DN","Genes down-regulated in mES cells (mouse embryonic stem cells) after tratment with the ALK [GeneID=238] inhibitor SB-431542 and JAK inhibitor I [PubChem=4521392;5494425].","i"
"TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_UP","Genes up-regulated in mES cells (mouse embryonic stem cells) after tratment with the ALK [GeneID=238] inhibitor SB-431542 and JAK inhibitor I [PubChem=4521392;5494425].","i"
"TESAR_ALK_TARGETS_EPISC_3D_UP","Genes up-regulated in EpiSC cells (mouse epiblast embryonic stem cells) after treatment with the ALK [GeneID=238] inhibitor SB-431542 [PubChem=4521392].","sb-431542"
"TESAR_ALK_TARGETS_EPISC_4D_UP","Genes up-regulated in EpiSC cells (epiblast stem cells) after treatment with the ALK [GeneID=238] inhibitor SB-431542 [PubChem=4521392].","sb-431542"
"TESAR_ALK_TARGETS_HUMAN_ES_4D_DN","Genes down-regulated in hES cells (human embryonic stem cells) after treatment with the ALK [GeneID=238] inhibitor SB-431542 [PubChem=16079008].","sb-431542"
"TESAR_ALK_TARGETS_HUMAN_ES_5D_DN","Genes down-regulated in hES cells (human embryonic stem cells) after treatment with the ALK [GeneID=238] inhibitor SB-431542 [PubChem=4521392].","sb-431542"
"TESAR_ALK_TARGETS_HUMAN_ES_5D_UP","Genes up-regulated in hES cells (human embryonic stem cells) after treatment with the ALK [GeneID=238] inhibitor SB-431542 [PubChem=4521392].","sb-431542"
"TESAR_JAK_TARGETS_MOUSE_ES_D3_DN","Genes down-regulated in mES cells (mouse embryonic stem cells) after tratment with JAK inhibitor I [PubChem=5494425].","i"
"TOOKER_GEMCITABINE_RESISTANCE_DN","Down-regulated genes in Calu3 cells (non-small cell lung cancer, NSCLC) resistant to gemcitabine [PubChem=3461] which became up-regulated in response to bexarotene [PubChem=82146].","bexarotene"
"TOOKER_GEMCITABINE_RESISTANCE_UP","Up-regulated genes in Calu3 cells (non-small cell lung cancer, NSCLC) resistant to gemcitabine [PubChem=3461] which became down-regulated in response to bexarotene [PubChem=82146].","bexarotene"
"TSUNODA_CISPLATIN_RESISTANCE_DN","Genes down-regulated in bladder cancer cells resistant to cisplatin [PubChem=2767] compared to the parental cells sensitive to the drug.","cisplatin"
"TSUNODA_CISPLATIN_RESISTANCE_UP","Genes up-regulated in bladder cancer cells resistant to cisplatin [PubChem=2767] compared to the parental cells sensitive to the drug.","cisplatin"
"UROSEVIC_RESPONSE_TO_IMIQUIMOD","Interferon cluster genes up-regulated in skin tumors treated with imiquimod [PubChem=57469].","imiquimod"
"UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN","Genes up-regulated in HUVEC cells (primary endothelium) after stimulation with leukotriene LTD4 [PubChem=3908] or thrombin (F2) [GeneID=2147] for 1 h.","ltd4"
"VERNOCHET_ADIPOGENESIS","Genes up-regulated during adipogenic differentiation of 3T3-L1 cells (preadipocyte) and down-regulated by troglitazone [PubChem=5591].","troglitazone"
"WANG_CISPLATIN_RESPONSE_AND_XPC_DN","Genes down-regulated in fibroblasts with defective XPC [GeneID=7508] in response to cisplatin [PubChem=2767].","cisplatin"
"WANG_CISPLATIN_RESPONSE_AND_XPC_UP","Genes up-regulated in fibroblasts with defective XPC [GeneID=7508] in response to cisplatin [PubChem=2767].","cisplatin"
"WANG_METHYLATED_IN_BREAST_CANCER","Genes up-regulated in MDA468 cells (breast cancer) vs DU99 cells (normal breast) after treatment with azacytidine [PubChem=9444].","azacytidine"
"WANG_RESPONSE_TO_ANDROGEN_UP","Genes up-regulated in LNCaP cells (prostate cancer) treated with synthetic androgen R1881 [PubChem=13766].","r1881"
"WANG_RESPONSE_TO_BEXAROTENE_DN","Genes down-regulated in the mouse lung cancer model and which reverted to normal levels upon treatment with bexarotene [PubChem=82146].","bexarotene"
"WANG_RESPONSE_TO_BEXAROTENE_UP","Genes up-regulated in the mouse lung cancer model and which reverted to normal levels upon treatment with bexarotene [PubChem=82146].","bexarotene"
"WANG_RESPONSE_TO_FORSKOLIN_DN","Genes down-regulated in LNCaP cells (prostate cancer) treated with forskolin [PubChem=47936], an activator of PKA pathway.","forskolin"
"WANG_RESPONSE_TO_FORSKOLIN_UP","Genes up-regulated in LNCaP cells (prostate cancer) treated with forskolin [PubChem=47936], an activator of PKA pathway.","forskolin"
"WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN","Genes down-regulated in RS4;11 cells (MLL, mixed lineage leukemia) in response to SB216763 [PubChem=176158], an inhibitor of GSK3B [GeneID=2932].","sb216763"
"WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP","Genes up-regulated in RS4;11 cells (MLL, mixed lineage leukemia) in response to SB216763 [PubChem=176158], an inhibitor of GSK3B [GeneID=2932].","sb216763"
"WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_H2O2","Oxidative stress genes down-regulated in ARPE-19 cells (retinal pigmented epithelium) in response to HNE and H2O2 [PubChem=5283344;784].","h2o2"
"WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH","Oxidative stress genes down-regulated in ARPE-19 cells (retinal pigmented epithelium) in response to HNE and tBH [PubChem=5283344;6410].","tbh"
"WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2","Oxidative stress genes down-regulated in ARPE-19 cells (retinal pigmented epithelium) in response to tert-butyl hydroperoxide (tBH) and H2O2 [PubChem=6410;784].","h2o2"
"WEIGEL_OXIDATIVE_STRESS_RESPONSE","Oxidative stress genes down-regulated in ARPE-19 cells (retinal pigmented epithelium) in response to HNE, tBH and H2O2 [PubChem=5283344;6410;784].","h2o2"
"WELCH_GATA1_TARGETS","Genes up-regulated after GATA1 [GeneID=2623] activation in G1E-ER4 cells (erythroid precursors engineered to express GATA1 upon addition of estradiol [PubChem=5757]).","estradiol"
"WHITEHURST_PACLITAXEL_SENSITIVITY","Genes that reduced viability of NCI-H1155 cells (non-small-cell lung cancer, NSCLC) in the presence of otherwise sublethal concentrations of paclitaxel [PubChem=4666], based on RNAi synthetic lethal screen.","paclitaxel"
"WHITESIDE_CISPLATIN_RESISTANCE_DN","Genes down-regulated in NCI-H2170 cells (lung cancer) upon induction of resistance to cisplatin [PubChem=2767].","cisplatin"
"WHITESIDE_CISPLATIN_RESISTANCE_UP","Genes up-regulated in NCI-H2170 cells (lung cancer) upon induction of resistance to cisplatin [PubChem=2767].","cisplatin"
"WILCOX_RESPONSE_TO_PROGESTERONE_DN","Genes down-regulated in primary cultures of ovarian surface epithlium cells exposed to progesterone [PubChem=5994] for 5 days.","progesterone"
"WILCOX_RESPONSE_TO_PROGESTERONE_UP","Genes up-regulated in primary cultures of ovarian surface epithlium cells exposed to progesterone [PubChem=5994] for 5 days.","progesterone"
"WILENSKY_RESPONSE_TO_DARAPLADIB","Atherosclerotic process genes whose coronary expression changed after darapladib [PubChem=9939609] treatment.","darapladib"
"WILLIAMS_ESR1_TARGETS_DN","The 'ER-alpha profile': genes down-regulated in T47D cells (breast cancer, ESR2 [GeneID=2100] Tet-Off) upon activation of ESR1 [GeneID=2099] by estradiol (E2) [PubChem=5757].","(e2)"
"WILLIAMS_ESR1_TARGETS_UP","The 'ER-alpha profile': genes up-regulated in T47D cells (breast cancer, ESR2 [GeneID=2100] Tet-Off) upon activation of ESR1 [GeneID=2099] by estradiol (E2) [PubChem=5757].","(e2)"
"WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN","Genes down-regulated in gastric mucosal tissue of mice on 2% cholesterol [PubChem=5997] diet and infected with H. pylori vs those infected with H. pylori while on 0% cholesterol diet.","cholesterol"
"WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP","Genes up-regulated in gastric mucosal tissue of mice on 2% cholesterol [PubChem=5997] diet and infected with H. pylori vs those infected with H. pylori while on 0% cholesterol diet.","cholesterol"
"XU_RESPONSE_TO_TRETINOIN_AND_NSC682994_DN","Genes down-regulated synergistically in NB4 cells (acute promyelocytic leukemia, APL) by tretinoin and NSC682994 [PubChem=444795;388304].","nsc682994"
"XU_RESPONSE_TO_TRETINOIN_AND_NSC682994_UP","Genes up-regulated synergistically in NB4 cells (acute promyelocytic leukemia, APL) by tretinoin and NSC682994 [PubChem=444795;388304].","nsc682994"
"XU_RESPONSE_TO_TRETINOIN_DN","Genes down-regulated in NB4 cells (acute promyelocytic leukemia, APL) by tretinoin [PubChem=444795] alone.","tretinoin"
"XU_RESPONSE_TO_TRETINOIN_UP","Genes up-regulated in NB4 cells (acute promyelocytic leukemia, APL) by tretinoin [PubChem=444795] alone.","tretinoin"
"YAMASHITA_METHYLATED_IN_PROSTATE_CANCER","Genes up-regulated in prostate cancer cell lines after treatment with 5-aza-2'-deoxycytidine (decitabine) [PubChem=451668].","(decitabine)"
"YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN","Genes down-regulated in the uteri of ovariectomized mice 6 h after progesterone [PubChem=5994] injection: HOXA10 [GeneID=3206] knockout vs wild type animals.","progesterone"
"YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP","Genes up-regulated in the uteri of ovariectomized mice 6 h after progesterone [PubChem=5994] injection: HOXA10 [GeneID=3206] knockout vs wild type animals.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_0","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 0.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 1.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 10.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_11","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 11.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_12","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 12.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 13.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 14.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_15","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 15.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 16.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 17.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_2","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 2.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 3.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_4","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 4.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_5","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 5.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_6","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 6.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_7","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 7.","progesterone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_8","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 8.","progesterone"
