"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","drug_name"
"MARCINIAK_ER_STRESS_RESPONSE_VIA_CHOP","MARCINIAK_ER_STRESS_RESPONSE_VIA_CHOP",1,0.647294589178357,0.873744542946674,0.681818181818182,0.960320810468552,0.960320810468552,177,"tags=100%, list=35%, signal=65%","23645",0.0629394692018967,"marciniak_er_stress_response_via_chop"
"MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_UP","MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_UP",1,0.64128256513026,0.865629268553981,0.701581027667984,0.960320810468552,0.960320810468552,180,"tags=100%, list=36%, signal=64%","56603",0.0615706755421678,"masri_resistance_to_tamoxifen_and_aromatase_inhibitors_up"
"PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_UP","PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_UP",1,0.64128256513026,0.865629268553981,0.701581027667984,0.960320810468552,0.960320810468552,180,"tags=100%, list=36%, signal=64%","56603",0.0615706755421678,"park_osteoblast_differentiation_by_phenylamil_up"
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN","BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN",2,0.518072289156627,0.861896266604712,0.654135338345865,0.960320810468552,0.960320810468552,242,"tags=100%, list=48%, signal=52%","87/5954",0.0768736734126542,"bandres_response_to_carmustin_without_mgmt_24hr_dn"
"GAJATE_RESPONSE_TO_TRABECTEDIN_UP","GAJATE_RESPONSE_TO_TRABECTEDIN_UP",4,-0.447996850239881,-0.860807585418216,0.700709219858156,0.960320810468552,0.960320810468552,87,"tags=50%, list=17%, signal=42%","79090/5106",0.0462302524077616,"gajate_response_to_trabectedin_up"
"MOREIRA_RESPONSE_TO_TSA_UP","MOREIRA_RESPONSE_TO_TSA_UP",2,0.516064257028112,0.858555583400817,0.659147869674185,0.960320810468552,0.960320810468552,243,"tags=100%, list=49%, signal=52%","4282/2288",0.0764767053228531,"moreira_response_to_tsa_up"
"DARWICHE_SKIN_TUMOR_PROMOTER_DN","DARWICHE_SKIN_TUMOR_PROMOTER_DN",7,0.29586726900921,0.857433828301088,0.621890547263682,0.957078791175835,0.957078791175835,32,"tags=43%, list=6%, signal=41%","440/90273/65078",0.120985142145252,"darwiche_skin_tumor_promoter_dn"
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN","SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN",1,0.633266533066132,0.854808902697056,0.719367588932806,0.960320810468552,0.960320810468552,184,"tags=100%, list=37%, signal=63%","57586",0.0603786357920401,"schaeffer_prostate_development_and_cancer_box1_dn"
"WHITEHURST_PACLITAXEL_SENSITIVITY","WHITEHURST_PACLITAXEL_SENSITIVITY",1,0.633266533066132,0.854808902697056,0.719367588932806,0.960320810468552,0.960320810468552,184,"tags=100%, list=37%, signal=63%","57586",0.0603786357920401,"whitehurst_paclitaxel_sensitivity"
"ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN","ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN",1,-0.635270541082164,-0.853522551728639,0.713709677419355,0.960320810468552,0.960320810468552,184,"tags=100%, list=37%, signal=63%","11183",0.0617054053637522,"zhang_antiviral_response_to_ribavirin_dn"
