"entrez_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"25903",20.5087256672568,0.575299872299204,0.432144026920148,1.331268828125,0.183100571186593,0.431474654953415,0.065535742436588,0.147410149182735,"OLFML2B"
"79087",414.190402340651,0.184775899119113,0.138791788527805,1.33131722761895,0.183084651962482,0.431474654953415,0.0956071338727991,0.114238021146484,"ALG12"
"133",126.765319381529,0.238304192832567,0.179050026023239,1.33093637641604,0.183209946607762,0.431666634292286,0.0907954028110698,0.1304350946903,"ADM"
"51761",8.44527808333077,1.05313601560387,0.791449854652382,1.3306414922098,0.183307002965207,0.431698039260936,0.0269308678992174,0.130026462578306,"ATP8A2"
"57107",817.04894853226,0.117741909057909,0.0884772536669506,1.33075908414967,0.183268294918104,0.431698039260936,0.0829757425043651,0.0793705582090387,"PDSS2"
"8202",1731.08965283094,-0.0891535057674191,0.0669974684947486,-1.3306996185148,0.183287868619988,0.431698039260936,-0.0720986012763681,0.061583414573624,"NCOA3"
"283726",83.5869253853457,0.675469699640102,0.50782986621603,1.33011022898909,0.183481955778135,0.431781361931566,0.0347241882333186,0.130939969045614,"SAXO2"
"286183",27.1158182351251,-0.47215586979957,0.354968096459074,-1.33013607281748,0.183473442162896,0.431781361931566,-0.0633352940506719,0.138115011127575,"NKAIN3"
"4651",1005.72957755646,-0.148144639476665,0.111371198656355,-1.33018806714811,0.183456314792917,0.431781361931566,-0.0910928643229668,0.0943600699407939,"MYO10"
"55228",51.4686099085845,-0.213532391618595,0.160526460905021,-1.33020058135422,0.183452192684992,0.431781361931566,-0.0949850680932517,0.122696155939316,"PNMA8A"
"6651",6408.16880163306,-0.105295057357822,0.0791477191043956,-1.33036123528636,0.183399280293116,0.431781361931566,-0.0800949448559224,0.0713095129913966,"SON"
"23633",1814.05393688601,0.113403233779411,0.0852714953276373,1.32990788239005,0.183548624017522,0.431819233236053,0.0828820786919669,0.0770440503708737,"KPNA6"
"29992",71.3760304125401,0.354266624879473,0.266394469404788,1.32985728146316,0.183565298585792,0.431819233236053,0.0706333811890061,0.138720080925203,"PILRA"
"55152",102.946656257153,0.235323273603024,0.176960443429964,1.32980721025464,0.183581799700044,0.431819233236053,0.0910879554420851,0.129556068637572,"DALRD3"
"60625",318.900032243793,-0.13473226380604,0.101336586414643,-1.32955202630124,0.183665913393463,0.431951398566228,-0.0896921394681432,0.0880311948126853,"DHX35"
"345778",501.797904423049,-0.0923281959175419,0.069473015270001,-1.32897925271728,0.183854814868843,0.432329929521323,-0.0732493931505759,0.0637188272710457,"MTX3"
"56131",9.92759154732128,0.706752403820929,0.531943975105497,1.32862187917584,0.183972750001341,0.432541495215192,0.0378428668312228,0.131753229497664,"PCDHB4"
"23162",582.356964470321,-0.177549184744102,0.133671235978676,-1.32825273473513,0.184094628400335,0.432630767562502,-0.0960429634254591,0.108266990133326,"MAPK8IP3"
