"entrez_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"343071",53.1847378610284,6.50766340525594,1.30020331729016,5.00511213801469,5.58295202622823e-07,0.000278571296586123,5.98209225826763,1.35558462330731,"PRAMEF10"
"10157",3129.83301758051,-1.30587553250358,0.262747334789613,-4.97008098502397,6.69249424319674e-07,0.000296701409584937,-1.19150194924613,0.264833658264117,"AASS"
"64855",556.384933514908,1.0718032229659,0.215824136911849,4.96609525839857,6.83144086129581e-07,0.000296701409584937,0.978399108901487,0.232427860219228,"NIBAN2"
"171483",89.7110307151728,-1.3397408989606,0.272732397802956,-4.91229098469094,9.00183236323847e-07,0.000348100857486432,-1.22055388205753,0.275789741751723,"FAM9B"
"3725",276.991287599032,1.20862873736957,0.254162440682166,4.75533967224125,1.98113033075795e-06,0.000666176607742696,1.09156068520515,0.277052532101979,"JUN"
"79645",17.028733411453,-1.38130793518844,0.291107916388284,-4.74500299519862,2.08503250288772e-06,0.000671901724055567,-1.25218655836109,0.297624387644208,"CLXN"
"5054",996.312633686788,2.27880963897541,0.483805186854872,4.71018025620918,2.47497798669577e-06,0.000750646264670788,2.03884888070854,0.5569123583575,"SERPINE1"
"83729",3485.71497378339,1.1542084483536,0.244997846071648,4.71109630905107,2.46387757493701e-06,0.000750646264670788,1.04319311792335,0.268513956814226,"INHBE"
"26232",289.7138112455,1.46263873709837,0.316754828525205,4.6175736101904,3.88252979375105e-06,0.00101788086186002,1.30676847022738,0.353026511273297,"FBXO2"
"57007",86.5668041649805,2.0880030084582,0.45129570238906,4.62668489286464,3.71565167237335e-06,0.00101788086186002,1.85746091093125,0.507438662650016,"ACKR3"
"3838",246.203572534194,1.24529819700606,0.278049628474258,4.47869038286217,7.51023714683734e-06,0.00170835806157765,1.10526179643558,0.308518098976237,"KPNA2"
"3959",1888.75733057975,1.01323091393597,0.227858515421051,4.4467546541487,8.7177308131399e-06,0.00187285916968956,0.902437133199346,0.25131848267746,"LGALS3BP"
